"variable","variable_label","horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","r_squared","significant"
"IMAEP","Aggregate GDP (IMAE-P)",6,-1.51202909909166,1.2851510435733,0.240230490494908,-3.62591445429368,0.601856256110354,340,0.0833944217435869,""
"IMAEP","Aggregate GDP (IMAE-P)",12,0.340498203409734,1.17129046777917,0.771464682383734,-1.58610317073051,2.26709957754998,334,0.0857884635760392,""
"IMAEP","Aggregate GDP (IMAE-P)",18,2.30327725254112,1.19080240913584,0.0539754782957087,0.344581590891479,4.26197291419075,328,0.0741522559352738,"*"
"IMAEP","Aggregate GDP (IMAE-P)",24,1.44856198361353,0.985906786712701,0.142770733121973,-0.173110370346925,3.07023433757399,322,0.120479223047889,""
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",6,-1.79706228556686,1.51210888261896,0.235514237782014,-4.28426006548819,0.690135494354467,340,0.135215790733839,""
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",12,-0.487950855015272,1.08736136714838,0.653914614718819,-2.2765011435762,1.30059943354565,334,0.0888773720916208,""
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",18,1.27260566547965,1.05656178231018,0.229303301154938,-0.465283814251554,3.01049514521086,328,0.04919016041933,""
"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)",24,1.83867214082808,0.768673754690978,0.017350169140713,0.574316327482222,3.10302795417394,322,0.0921171172196166,"*"
