"variable","correlation"
"Commodities",0.0496387746217421
"Crecimiento_creditos",-0.233007611723526
"FFER",-0.0864069615925793
"Liquidez",0.0147638388028494
"Morosidad",-0.386247300894284
"Ratio_Cred_Depo",0.198366012178377
"Rentabilidad",0.194536239692367
"Spread_activas_pasivas",-0.16909919276417
"Spread_mercado_TPM",-0.253742967782906
"TCN",0.126364543854522
"TPM",-0.1725159901018
"VIX",0.238199858547016
