"proxy","response","horizon","ci_lower","ci_upper","n_boot_valid"
"DXY","Cred_Real_Total",15,-12.6965566687044,11.9301941118288,500
"DXY","Cred_Real_Total",16,-11.7728447185482,11.6095382953746,500
"DXY","Cred_Real_Total",17,-10.8471997420174,11.2587400791047,500
"DXY","Cred_Real_Total",18,-9.94153441978566,10.7008770232497,500
"DXY","Cred_Real_Total",19,-9.00666788659806,9.70502451930239,500
"DXY","Cred_Real_Total",20,-8.13753367843373,9.67396925608208,500
"DXY","Cred_Real_Total",21,-7.87248007846275,9.18127857419983,500
"DXY","Cred_Real_Total",22,-6.91422674092248,7.39131024652946,500
"DXY","Cred_Real_Total",23,-6.65993442708074,6.88327228843137,500
"DXY","Cred_Real_Total",24,-6.4873977640125,7.02520520882156,500
"DXY","IMAEP_yoy",0,-26.7706670666238,24.2516354774518,500
"DXY","IMAEP_yoy",1,-18.4132477416459,15.4551870818006,500
"DXY","IMAEP_yoy",2,-12.8248606521017,10.8497373533648,500
"DXY","IMAEP_yoy",3,-9.30507410946789,8.37556269036864,500
"DXY","IMAEP_yoy",4,-6.78852276014143,5.9487803200381,500
"DXY","IMAEP_yoy",5,-5.00253451351038,4.05551733994049,500
"DXY","IMAEP_yoy",6,-4.44799236513357,3.41322533038626,500
"DXY","IMAEP_yoy",7,-3.26990986936819,2.5202925514286,500
"DXY","IMAEP_yoy",8,-2.70110978981582,2.34636186840881,500
"DXY","IMAEP_yoy",9,-2.50164908887136,2.13512695335155,500
"DXY","IMAEP_yoy",10,-2.2560185384423,2.22927038872464,500
"DXY","IMAEP_yoy",11,-1.94760256608701,2.03654778809711,500
"DXY","IMAEP_yoy",12,-1.5514722539369,1.94324574276253,500
"DXY","IMAEP_yoy",13,-1.43690196559927,1.77872711039497,500
"DXY","IMAEP_yoy",14,-1.29526813084509,1.69848901923666,500
"DXY","IMAEP_yoy",15,-1.08833639426843,1.53221158706152,500
"DXY","IMAEP_yoy",16,-0.981559376826815,1.32676103725291,500
"DXY","IMAEP_yoy",17,-1.01145360660918,1.19757446647464,500
"DXY","IMAEP_yoy",18,-0.832587929511881,0.994699640903543,500
"DXY","IMAEP_yoy",19,-0.752478388627146,0.892512608338924,500
"DXY","IMAEP_yoy",20,-0.663007510697742,0.843332745373089,500
"DXY","IMAEP_yoy",21,-0.606825438254713,0.770013041167816,500
"DXY","IMAEP_yoy",22,-0.522544238016314,0.695940209818073,500
"DXY","IMAEP_yoy",23,-0.535992386056352,0.638254158095685,500
"DXY","IMAEP_yoy",24,-0.551315473566866,0.581839261213252,500
"DXY","IPC_yoy",0,-7.61447893879301,7.72910422184663,500
"DXY","IPC_yoy",1,-9.05557540041982,8.47880974294525,500
"DXY","IPC_yoy",2,-8.90396246390732,7.9990421400383,500
"DXY","IPC_yoy",3,-8.34401413977822,7.33737706450973,500
"DXY","IPC_yoy",4,-7.60862833917656,6.73845923704136,500
"DXY","IPC_yoy",5,-6.89157178782679,6.09503072932177,500
"DXY","IPC_yoy",6,-6.22255184933809,5.56606759697295,500
"DXY","IPC_yoy",7,-5.60057226220011,5.05753069134809,500
"DXY","IPC_yoy",8,-5.18479143636856,4.52849317660291,500
"DXY","IPC_yoy",9,-4.54760216131564,4.03733027707394,500
"DXY","IPC_yoy",10,-4.06257197019747,3.63581988995564,500
"DXY","IPC_yoy",11,-3.64519757050309,3.24554319415586,500
"DXY","IPC_yoy",12,-3.47100658565346,2.94123962137713,500
"DXY","IPC_yoy",13,-2.92859481000999,2.67880845455093,500
"DXY","IPC_yoy",14,-2.61359834665465,2.44014120697284,500
"DXY","IPC_yoy",15,-2.24224806148177,2.17885470915976,500
"DXY","IPC_yoy",16,-1.99780003712101,1.86288807130263,500
"DXY","IPC_yoy",17,-1.8165738784159,1.6591923682149,500
"DXY","IPC_yoy",18,-1.59814658571263,1.51000676768234,500
"DXY","IPC_yoy",19,-1.39140104722219,1.3542223766865,500
"DXY","IPC_yoy",20,-1.22774763782805,1.19634057923602,500
"DXY","IPC_yoy",21,-1.07566249667413,1.05629284444587,500
"DXY","IPC_yoy",22,-0.96180060657982,1.01333024735096,500
"DXY","IPC_yoy",23,-0.850410057146293,0.817530280000047,500
"DXY","IPC_yoy",24,-0.758663845309718,0.711334331675154,500
"VIX","FCI_ENDO_exCredit_AVG",0,-0.166782735545419,0.166788759622523,500
"VIX","FCI_ENDO_exCredit_AVG",1,-0.215167994205425,0.231728883673045,500
"VIX","FCI_ENDO_exCredit_AVG",2,-0.27982647524078,0.291820588942827,500
"VIX","FCI_ENDO_exCredit_AVG",3,-0.350924687975877,0.342761614899878,500
"VIX","FCI_ENDO_exCredit_AVG",4,-0.447191443556643,0.397083634297183,500
"VIX","FCI_ENDO_exCredit_AVG",5,-0.53802128934443,0.487896960615865,500
"VIX","FCI_ENDO_exCredit_AVG",6,-0.558490025294436,0.572785838180563,500
"VIX","FCI_ENDO_exCredit_AVG",7,-0.597640208171495,0.649543858559037,500
"VIX","FCI_ENDO_exCredit_AVG",8,-0.543605363983823,0.686256091712047,500
"VIX","FCI_ENDO_exCredit_AVG",9,-0.567563742168684,0.738807571064576,500
"VIX","FCI_ENDO_exCredit_AVG",10,-0.630584396422543,0.788739516987374,500
"VIX","FCI_ENDO_exCredit_AVG",11,-0.662196870570693,0.849942876616706,500
"VIX","FCI_ENDO_exCredit_AVG",12,-0.691518687547883,0.876872587927591,500
"VIX","FCI_ENDO_exCredit_AVG",13,-0.716640971756465,1.02304568875132,500
"VIX","FCI_ENDO_exCredit_AVG",14,-0.770754414855075,1.0534312320776,500
"VIX","FCI_ENDO_exCredit_AVG",15,-0.794333800005014,1.07720441121441,500
"VIX","FCI_ENDO_exCredit_AVG",16,-0.846173723091313,1.08756492737834,500
"VIX","FCI_ENDO_exCredit_AVG",17,-0.879540086881991,1.11394232382585,500
"VIX","FCI_ENDO_exCredit_AVG",18,-0.897509039161602,1.16660724752965,500
"VIX","FCI_ENDO_exCredit_AVG",19,-0.935545384549679,1.20161115040979,500
"VIX","FCI_ENDO_exCredit_AVG",20,-0.960447842950851,1.23186644789565,500
"VIX","FCI_ENDO_exCredit_AVG",21,-0.983846544926836,1.25798671247967,500
"VIX","FCI_ENDO_exCredit_AVG",22,-1.03982593767596,1.33945284167728,500
"VIX","FCI_ENDO_exCredit_AVG",23,-1.05947401549283,1.37227369522394,500
"VIX","FCI_ENDO_exCredit_AVG",24,-1.06374208562119,1.3985932963178,500
"VIX","Cred_Real_Total",0,-33.2769054496385,37.9771902166313,500
"VIX","Cred_Real_Total",1,-34.3617244071695,44.1052423606815,500
"VIX","Cred_Real_Total",2,-35.2891586042457,42.6962640130192,500
"VIX","Cred_Real_Total",3,-33.5880076554802,42.0981253669107,500
"VIX","Cred_Real_Total",4,-30.4849742228861,40.9155747440872,500
"VIX","Cred_Real_Total",5,-28.9486714286597,39.4960697838526,500
"VIX","Cred_Real_Total",6,-27.7219212117299,38.0643445334255,500
"VIX","Cred_Real_Total",7,-26.4107109471583,36.7241764918275,500
