"sample","classification","domestic_share","external_share","spillover_beta","spillover_p","n_obs"
"Full Sample","Baseline (TCN domestic)",95.9878817571741,4.0121182428259,0.207250347120406,0.000130186886269594,360
"Full Sample","Alternative (TCN external)",91.0204105608958,8.97958943910423,0.293629249171032,6.64413751195755e-09,360
"Post-IT","Baseline (TCN domestic)",93.9321654126091,6.06783458739087,0.182499020038179,0.000982190580357378,176
"Post-IT","Alternative (TCN external)",90.2736784081473,9.72632159185266,0.29939079561214,2.51418935275852e-05,176
