"credit_type","horizon","first_stage_F","wu_hausman_p","sargan_p","n_instruments","instruments","er_controls","n_obs"
"Cred_Real_Total",1,5.2766072772147,0.0473371502003499,0.0237101760467588,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",323
"Cred_Real_Total",2,5.26026151569586,0.00166019045524254,0.0217638158675086,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",322
"Cred_Real_Total",3,5.24617481374426,5.59109267755674e-05,0.0361250822528184,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",321
"Cred_Real_Total",4,5.22922619630225,1.0417343516508e-07,0.0801162439476245,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",320
"Cred_Real_Total",5,5.11811526437103,1.43039392081944e-11,0.326992254698141,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",319
"Cred_Real_Total",6,5.10935139791107,6.51299549957347e-14,0.450919307858933,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",318
"Cred_Real_Total",7,5.09022786956581,1.01814585251168e-16,0.529546164969826,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",317
"Cred_Real_Total",8,5.07472940046658,1.14554724655219e-20,0.498323650876051,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",316
"Cred_Real_Total",9,5.02023211002089,1.24464377322046e-25,0.46570007902072,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",315
"Cred_Real_Total",10,4.96222210939302,1.05237653075535e-30,0.483075074996629,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",314
"Cred_Real_Total",11,5.03927522598327,3.66605543993203e-35,0.491987815727332,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",313
"Cred_Real_Total",12,4.79168888632591,1.12497943894121e-37,0.392371994726238,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",312
"Cred_Real_Total",13,4.99494157552284,1.16761153295999e-43,0.481208379350037,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",311
"Cred_Real_Total",14,4.92745761814099,1.56713609976413e-43,0.42075712188641,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",310
"Cred_Real_Total",15,4.90985787581727,2.07405545947864e-43,0.391495828360573,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",309
"Cred_Real_Total",16,4.87895782111748,2.71185633939999e-40,0.309408151072793,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",308
"Cred_Real_Total",17,4.77610722786913,3.63311757003914e-36,0.213799891891395,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",307
"Cred_Real_Total",18,4.77301799630032,1.97123419813658e-34,0.192284190579102,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",306
"Cred_Real_Total",19,4.7674119763127,6.82299082018218e-32,0.170251218801766,3,"FFER;DXY;Selic_rate","d_ToT;US_10Y;SP500",305
