"window_size","fecha","correlation"
36,1998-12-01,0.441733757821245
36,1999-01-01,0.434482496076284
36,1999-02-01,0.421405157994212
36,1999-03-01,0.376840890024395
36,1999-04-01,0.345864054737619
36,1999-05-01,0.337497077236528
36,1999-06-01,0.297159066394397
36,1999-07-01,0.256997563876454
36,1999-08-01,0.225099695519305
36,1999-09-01,0.157577944340711
36,1999-10-01,0.129319284424137
36,1999-11-01,0.136102832680123
36,1999-12-01,0.184036216884443
36,2000-01-01,0.208409443078734
36,2000-02-01,0.222081949199958
36,2000-03-01,0.242762244244279
36,2000-04-01,0.220185486772882
36,2000-05-01,-0.128545620719861
36,2000-06-01,-0.0423501032358009
36,2000-07-01,0.0253798031170586
36,2000-08-01,0.0634477116669617
36,2000-09-01,0.105350048525296
36,2000-10-01,0.139101502442032
36,2000-11-01,0.133114353351395
36,2000-12-01,0.0995776071841762
36,2001-01-01,0.0564267162571835
36,2001-02-01,-0.00135348945907111
36,2001-03-01,-0.0348591158625069
36,2001-04-01,-0.0580963216638954
36,2001-05-01,-0.0776091378771632
36,2001-06-01,-0.0881426483215488
36,2001-07-01,-0.068724903471905
36,2001-08-01,-0.0210485460094113
36,2001-09-01,0.0608642741060025
36,2001-10-01,0.182319590495531
36,2001-11-01,0.206408424731775
36,2001-12-01,0.188592614566864
36,2002-01-01,0.258960966080144
36,2002-02-01,0.343517029689304
36,2002-03-01,-0.358237208388746
36,2002-04-01,-0.251409874412672
36,2002-05-01,-0.232012548086979
36,2002-06-01,-0.2350754109416
36,2002-07-01,-0.111627838687957
36,2002-08-01,0.120346465232572
36,2002-09-01,0.261229657838845
36,2002-10-01,0.38822706691846
36,2002-11-01,0.447024498278715
36,2002-12-01,0.496370404038062
36,2003-01-01,0.527232663751818
36,2003-02-01,0.558061761653082
36,2003-03-01,0.588040364905482
36,2003-04-01,0.620852465714894
36,2003-05-01,0.634586491494197
36,2003-06-01,0.63993486870158
36,2003-07-01,0.602501473937712
36,2003-08-01,0.464071806476872
36,2003-09-01,0.252493689306203
36,2003-10-01,0.0230740101379389
36,2003-11-01,-0.132362403430113
36,2003-12-01,-0.235588588697162
36,2004-01-01,-0.304071482452077
36,2004-02-01,-0.36248753467493
36,2004-03-01,-0.429687186042943
36,2004-04-01,-0.486310518630349
36,2004-05-01,-0.528207298298597
36,2004-06-01,0.574955822299279
36,2004-07-01,0.624479270820831
36,2004-08-01,0.652583963883441
36,2004-09-01,0.669868704794342
36,2004-10-01,0.687940556489196
36,2004-11-01,0.702237674455831
36,2004-12-01,0.733679033995262
36,2005-01-01,0.789692225003567
36,2005-02-01,0.847664394048179
36,2005-03-01,0.888178953634047
36,2005-04-01,0.91381445368995
36,2005-05-01,0.927919081335885
36,2005-06-01,0.936966568573915
36,2005-07-01,0.945824110294616
36,2005-08-01,0.949775086254519
36,2005-09-01,0.94585963627268
36,2005-10-01,0.943380729261902
36,2005-11-01,0.941453604242321
36,2005-12-01,0.942828429681458
36,2006-01-01,0.944859809272779
36,2006-02-01,0.950504981037805
36,2006-03-01,0.951021001559974
36,2006-04-01,0.936020619830215
36,2006-05-01,0.918476258995822
36,2006-06-01,0.891505906177095
36,2006-07-01,0.853246724694844
36,2006-08-01,0.798395281262721
36,2006-09-01,0.716474176857136
36,2006-10-01,0.626582945397753
36,2006-11-01,0.517848979245267
36,2006-12-01,0.40972344780052
36,2007-01-01,0.316913074467645
36,2007-02-01,0.207004512308684
36,2007-03-01,0.0288618995248431
36,2007-04-01,-0.1312117704967
36,2007-05-01,-0.280590253295657
36,2007-06-01,-0.438562112017805
36,2007-07-01,-0.525952480557718
36,2007-08-01,-0.613380018437669
36,2007-09-01,-0.602136356449376
36,2007-10-01,-0.53325334197188
36,2007-11-01,-0.425255332665039
36,2007-12-01,-0.302267075487854
36,2008-01-01,-0.196407910198585
36,2008-02-01,7.18223501319463e-05
36,2008-03-01,0.233316411302465
36,2008-04-01,0.437633015419833
36,2008-05-01,0.60933646169785
36,2008-06-01,0.716194420702531
36,2008-07-01,0.780758609596514
36,2008-08-01,0.810172036328649
36,2008-09-01,0.811270901360427
36,2008-10-01,0.585039280745453
36,2008-11-01,0.312008284148113
36,2008-12-01,0.117374400596557
36,2009-01-01,0.00699858603609647
36,2009-02-01,-0.115991225728468
36,2009-03-01,-0.216235615162948
36,2009-04-01,-0.314441168759121
36,2009-05-01,-0.396459101861668
36,2009-06-01,-0.470232595412541
36,2009-07-01,-0.52704150500153
36,2009-08-01,-0.585013777142025
36,2009-09-01,-0.634734100556619
36,2009-10-01,-0.70527826632254
36,2009-11-01,-0.785378262540766
36,2009-12-01,0.854821607399137
36,2010-01-01,0.916756027206564
36,2010-02-01,0.96269562862456
36,2010-03-01,0.976154812540122
36,2010-04-01,0.979312889976503
36,2010-05-01,0.98098014372288
36,2010-06-01,0.980472761250806
36,2010-07-01,0.979376756065177
36,2010-08-01,0.973887235037655
36,2010-09-01,0.970243021302594
36,2010-10-01,0.967081088513749
36,2010-11-01,0.963071057144361
36,2010-12-01,0.949004313283001
36,2011-01-01,0.937230080459014
36,2011-02-01,0.924943313982221
36,2011-03-01,0.89748765575081
36,2011-04-01,0.841208782727405
36,2011-05-01,0.749401178441437
36,2011-06-01,0.579873472641254
36,2011-07-01,0.339416415790724
36,2011-08-01,0.0868473665743053
36,2011-09-01,-0.240251780298572
36,2011-10-01,-0.429734769627702
36,2011-11-01,-0.517673359382441
36,2011-12-01,-0.545429629266131
36,2012-01-01,-0.583063656480327
36,2012-02-01,-0.641222850886337
36,2012-03-01,-0.677594708456127
36,2012-04-01,-0.671666754767571
36,2012-05-01,-0.647033762195052
36,2012-06-01,-0.625590973881009
36,2012-07-01,-0.622077414673403
36,2012-08-01,-0.629234979984374
36,2012-09-01,-0.644956073338122
36,2012-10-01,-0.652149864028119
36,2012-11-01,-0.65557918493987
36,2012-12-01,-0.663679734236356
36,2013-01-01,-0.709096282813073
36,2013-02-01,0.749369149534665
36,2013-03-01,0.771577762745932
36,2013-04-01,0.783647968273156
36,2013-05-01,0.790701592816525
36,2013-06-01,0.819591983480191
36,2013-07-01,0.91600643127459
36,2013-08-01,0.939904171976211
36,2013-09-01,0.857935026936492
36,2013-10-01,0.845702520497627
36,2013-11-01,0.83792542579063
36,2013-12-01,0.813994927326539
36,2014-01-01,0.812819960361651
36,2014-02-01,0.825780855891221
36,2014-03-01,0.822674550025921
36,2014-04-01,0.8062897085849
36,2014-05-01,0.776425380889707
36,2014-06-01,0.739214741178567
36,2014-07-01,0.715734562370519
36,2014-08-01,0.716391163850155
36,2014-09-01,0.741264038963037
36,2014-10-01,0.781996024954058
36,2014-11-01,0.842146126090574
36,2014-12-01,0.861533474268358
36,2015-01-01,0.849622480718777
