"target","horizon","coef","se","p_value","ci_lower","ci_upper","n_obs"
"FCI_ENDO_AVG",1,0.00172670025994483,0.00817174211987706,0.832787042547128,-0.0117146194044471,0.0151680199243367,333
"FCI_ENDO_AVG",2,-3.91190943206985e-05,0.00763727215520282,0.99591636182516,-0.0126013138988215,0.0125230757101801,332
"FCI_ENDO_AVG",3,-0.00973087191635752,0.0103283346145874,0.34683172742176,-0.0267194705675301,0.00725772673481507,331
"FCI_ENDO_AVG",4,-0.00504605737834612,0.0109207095576128,0.644353996461013,-0.0230090261030691,0.0129169113463769,330
"FCI_ENDO_AVG",5,-0.00260991027393904,0.0124825249380388,0.83451693358993,-0.0231418366917843,0.0179220161439063,329
"FCI_ENDO_AVG",6,0.00123736089171861,0.0147114354112407,0.93302354083093,-0.0229607970021229,0.0254355187855601,328
"FCI_ENDO_AVG",7,0.00637228013973634,0.0130012874267325,0.624387508417285,-0.0150129346391632,0.0277574949186359,327
"FCI_ENDO_AVG",8,0.0053069607715141,0.0157559000809355,0.736476246059614,-0.0206091886224977,0.0312231101655259,326
"FCI_ENDO_AVG",9,-0.00452307188547882,0.0187631629771956,0.809666476362338,-0.0353857285616006,0.0263395847906429,325
"FCI_ENDO_AVG",10,0.00567548867505997,0.0207768469827525,0.784908965377807,-0.0284993834411362,0.0398503607912561,324
"FCI_ENDO_AVG",11,0.00319231422542353,0.02379290646574,0.893354829920454,-0.0359435342704661,0.0423281627213131,323
"FCI_ENDO_AVG",12,-0.00142196487202254,0.0271673203962371,0.958290910518355,-0.0461082303603258,0.0432643006162807,322
"FCI_ENDO_AVG",13,0.000555629311903958,0.0296250480499658,0.985048425009157,-0.0481732384216939,0.0492844970455018,321
"FCI_ENDO_AVG",14,0.00223360130446901,0.0325296406835532,0.945302261740238,-0.0512728961573017,0.0557400987662397,320
"FCI_ENDO_AVG",15,0.00486621320876287,0.0353611631559496,0.890635799165505,-0.0532977242615236,0.0630301506790493,319
"FCI_ENDO_AVG",16,0.0131973551126525,0.0359145080963743,0.713527250975586,-0.0458767537898467,0.0722714640151517,318
"FCI_ENDO_AVG",17,0.00667217381395948,0.0355607994766005,0.851294472477384,-0.0518201361824208,0.0651644838103398,317
"FCI_ENDO_AVG",18,0.0180367949030871,0.0348338520011444,0.604980386810476,-0.039259792901686,0.0753333827078603,316
"FCI_ENDO_AVG",19,0.0180386011727999,0.0327780566890603,0.582504282072678,-0.0358765042566218,0.0719537066022217,315
"FCI_ENDO_AVG",20,0.0124314263185913,0.0314639853788547,0.693049730751836,-0.039322224150166,0.0641850767873486,314
"FCI_ENDO_AVG",21,0.00588796289287728,0.0307516674072308,0.848288837083265,-0.0446940287767116,0.0564699545624662,313
"FCI_ENDO_AVG",22,0.00300682065850213,0.0294662129643329,0.91879117498797,-0.0454607866084053,0.0514744279254096,312
"FCI_ENDO_AVG",23,-0.000447612322819546,0.0280838129379557,0.987294200206423,-0.0466413738924427,0.0457461492468036,311
"FCI_ENDO_AVG",24,0.00357338232918631,0.0263687351512265,0.892296120370383,-0.0397993273224313,0.0469460919808039,310
"Cred_Real_Total",1,-0.308484260346667,0.273007324406004,0.259346759277679,-0.757541348080199,0.140572827386865,333
"Cred_Real_Total",2,-0.31062018791945,0.231786535139734,0.181165289358898,-0.691875110922557,0.0706347350836561,332
"Cred_Real_Total",3,-0.257843547373157,0.251050125033269,0.305175252468956,-0.67078425608075,0.155097161334436,331
"Cred_Real_Total",4,-0.357980546746366,0.230637959571161,0.121631572937208,-0.737346231059677,0.0213851375669457,330
"Cred_Real_Total",5,-0.253580536283579,0.241489074365349,0.294490669760648,-0.650794716122577,0.143633643555419,329
"Cred_Real_Total",6,-0.434366274189569,0.284700581737788,0.128092403571551,-0.902657058656164,0.0339245102770261,328
"Cred_Real_Total",7,-0.187862235626299,0.317889364034782,0.554968794595403,-0.710743709028208,0.335019237775609,327
"Cred_Real_Total",8,-0.161422040191273,0.29971953832487,0.590562821368771,-0.654416809873157,0.331572729490611,326
"Cred_Real_Total",9,-0.0570271771561018,0.284596640826927,0.841315187321965,-0.525146994038477,0.411092639726274,325
"Cred_Real_Total",10,-0.0744372191182618,0.275814630160571,0.787431116606735,-0.528111913904156,0.379237475667633,324
"Cred_Real_Total",11,-0.0420487906287452,0.272572678446839,0.877500440154082,-0.490390949379906,0.406293368122416,323
"Cred_Real_Total",12,0.149135785181751,0.294546162546666,0.612991461955986,-0.335349538587771,0.633621108951274,322
"Cred_Real_Total",13,0.125920756950703,0.29495176210452,0.669736958047623,-0.359231718722644,0.611073232624051,321
"Cred_Real_Total",14,0.0829256482039626,0.305225917488834,0.786046572570733,-0.419126309217137,0.584977605625062,320
"Cred_Real_Total",15,0.0138580923334737,0.324784846220331,0.965993684443255,-0.520365439950914,0.548081624617861,319
"Cred_Real_Total",16,-0.00234482576894377,0.320020097655878,0.994158661981233,-0.528731044095579,0.524041392557691,318
"Cred_Real_Total",17,0.0546862620610529,0.301173771266026,0.856036022946948,-0.440700507948522,0.550073032070628,317
"Cred_Real_Total",18,-0.136396990210392,0.2785668790394,0.624745394982925,-0.5945987315469,0.321804751126117,316
"Cred_Real_Total",19,-0.309861275305641,0.28232631868534,0.273287494265379,-0.77424674457908,0.154524193967798,315
"Cred_Real_Total",20,-0.185900174946264,0.231553515396115,0.422703415719387,-0.566771814578927,0.194971464686398,314
"Cred_Real_Total",21,-0.193631370072725,0.234003647206142,0.408629735714747,-0.578533117899619,0.19127037775417,313
"Cred_Real_Total",22,-0.0755433448321928,0.214417302021217,0.724847881718291,-0.428228421742941,0.277141732078555,312
"Cred_Real_Total",23,-0.12105806875546,0.202637274745569,0.550687112737154,-0.454366725076272,0.212250587565351,311
"Cred_Real_Total",24,-0.218965890118428,0.201164585981973,0.277263749191704,-0.549852188985067,0.111920408748211,310
