"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side"
1,-1.5131907606115,1.29971426233709,-1.16424879256964,0.246987056537299,-3.65103047901721,0.62464895779422,112,0.12401945049027,"Consumo_Privado","Private Consumption","Demand"
2,-1.72898462034447,0.902806848921685,-1.91512129356304,0.0582508828914077,-3.21396974022993,-0.243999500459007,111,0.155765550585966,"Consumo_Privado","Private Consumption","Demand"
3,-1.57460727911576,0.874211831612738,-1.80117360824429,0.0746302885209534,-3.01255778106786,-0.136656777163662,110,0.116516787346488,"Consumo_Privado","Private Consumption","Demand"
4,-0.0721542415057331,0.73373326896553,-0.0983385169483473,0.92185839530782,-1.27903807017864,1.13472958716718,109,0.0543662466837867,"Consumo_Privado","Private Consumption","Demand"
5,1.49438028769083,0.867876865289466,1.7218805425726,0.0881830184930672,0.0668498780721805,2.92191069730948,108,0.0769849997430674,"Consumo_Privado","Private Consumption","Demand"
6,1.18935488556112,0.902452407688161,1.31791424725424,0.190573825468059,-0.295047230375844,2.67375700149808,107,0.0503542053465491,"Consumo_Privado","Private Consumption","Demand"
7,2.08264007321275,0.793578677885375,2.62436495743849,0.010070573385972,0.777319306621634,3.38796083980386,106,0.115647474334987,"Consumo_Privado","Private Consumption","Demand"
8,1.27662881755881,0.927630258204643,1.37622593298069,0.171920579717131,-0.24918717711903,2.80244481223664,105,0.186325425124332,"Consumo_Privado","Private Consumption","Demand"
1,-2.23135100495218,1.24287562204915,-1.79531319575914,0.0755081565856364,-4.27569947972928,-0.187002530175072,112,0.254778945761855,"Consumo_Publico","Public Consumption","Demand"
2,-0.603365216092567,1.18073904157598,-0.511006407721754,0.610440175188506,-2.54550811111202,1.33877767892689,111,0.229997332802795,"Consumo_Publico","Public Consumption","Demand"
3,-1.23242032364312,1.58383249961951,-0.778125416632871,0.438296337071273,-3.83759295512589,1.37275230783966,110,0.239351410102075,"Consumo_Publico","Public Consumption","Demand"
4,-3.79982694833925,1.93565496801315,-1.96307038761127,0.0523882037607251,-6.98369604300231,-0.615957853676198,109,0.164609359184777,"Consumo_Publico","Public Consumption","Demand"
5,-2.62278646642884,1.29919516898597,-2.01877787805811,0.0461873012462802,-4.75977235225323,-0.485800580604442,108,0.115485961516555,"Consumo_Publico","Public Consumption","Demand"
6,-2.59366982842727,1.19857711337138,-2.16395741207818,0.032873061093518,-4.56515374053722,-0.62218591631733,107,0.113576573917745,"Consumo_Publico","Public Consumption","Demand"
7,-1.28072118830644,1.42481664257688,-0.898867370042908,0.370926562214628,-3.62433601058983,1.06289363397695,106,0.053559595740868,"Consumo_Publico","Public Consumption","Demand"
8,0.53954427232082,1.43826101014446,0.37513654928783,0.708377922300388,-1.82618456671818,2.90527311135982,105,0.0666684620902951,"Consumo_Publico","Public Consumption","Demand"
1,-7.73447084056952,2.44068586648518,-3.16897432265952,0.00200928664336749,-11.7490418403069,-3.71989984083218,112,0.297000919250075,"FBCF","Investment (GFCF)","Demand"
2,-7.94794110949611,2.49294879311689,-3.18816861840108,0.00189656255922319,-12.0484769736587,-3.84740524533351,111,0.350269727959838,"FBCF","Investment (GFCF)","Demand"
3,-6.09421385058923,2.18993722488044,-2.78282581863594,0.00642185703552325,-9.69634003772987,-2.49208766344859,110,0.279049796186445,"FBCF","Investment (GFCF)","Demand"
4,-1.75837331541258,2.38166520594253,-0.738295756693779,0.46204682436967,-5.67586396759128,2.15911733676611,109,0.153493020618371,"FBCF","Investment (GFCF)","Demand"
5,2.98769516388528,3.1986249037377,0.934056119051052,0.352524911183272,-2.27357461028497,8.24896493805553,108,0.146648752136222,"FBCF","Investment (GFCF)","Demand"
6,0.514927502369767,3.19885288143153,0.160972549053063,0.872443052102256,-4.74671726173704,5.77657226647658,107,0.0805116521677967,"FBCF","Investment (GFCF)","Demand"
7,2.06846161479665,1.68261953605227,1.2293103523864,0.221898875256832,-0.699201231858326,4.83612446145163,106,0.0623006776500909,"FBCF","Investment (GFCF)","Demand"
8,4.00795405403683,1.25547803187302,3.19237290680223,0.00190256536458582,1.94287645975259,6.07303164832107,105,0.10740087858643,"FBCF","Investment (GFCF)","Demand"
1,0.114950051578005,3.40692949820124,0.0337400734704652,0.973149094312391,-5.48895029030626,5.71885039346227,112,0.074821998286868,"Exportaciones","Exports","Demand"
2,-0.379453413346071,3.33203070373145,-0.113880527247583,0.909554185874379,-5.86015620149241,5.10124937480026,111,0.164308006303679,"Exportaciones","Exports","Demand"
3,1.26739853689308,3.54886989510945,0.357127360075844,0.72173427268727,-4.5699729816566,7.10477005544275,110,0.140798071314738,"Exportaciones","Exports","Demand"
4,0.720633027739045,2.40762124996559,0.299313285986882,0.765316068921478,-3.23955151759229,4.68081757307038,109,0.113694001355647,"Exportaciones","Exports","Demand"
5,6.60312484013705,2.80527341139798,2.35382576732385,0.0205367734249162,1.98886069480856,11.2173889854655,108,0.165162202086288,"Exportaciones","Exports","Demand"
6,2.10598929195793,2.82502368615308,0.745476684772764,0.457749886579422,-2.54076116443478,6.75273974835064,107,0.109465264754025,"Exportaciones","Exports","Demand"
7,-0.75163527754119,3.34295454323472,-0.224841608768598,0.822570650292971,-6.25030618271472,4.74703562763234,106,0.108235742996436,"Exportaciones","Exports","Demand"
8,1.37176206650989,2.52153855737049,0.544017882455223,0.587677463178926,-2.77579977507894,5.51932390809872,105,0.22440399031852,"Exportaciones","Exports","Demand"
1,-6.38942160685778,3.06179574057852,-2.08682163939862,0.0393492323728326,-11.4256274357329,-1.35321577798263,112,0.329311164116913,"Importaciones","Imports","Demand"
2,-7.95331149363707,2.95045950301629,-2.69561791494047,0.00820722893505193,-12.8063855083468,-3.10023747892729,111,0.217234827987652,"Importaciones","Imports","Demand"
3,-5.68768765045248,2.7923915416468,-2.03685176868076,0.0442553538700904,-10.2807630055988,-1.09461229530612,110,0.12594578710005,"Importaciones","Imports","Demand"
4,-1.98959299852226,2.63387050073851,-0.755387555297194,0.451774489970603,-6.32192444458247,2.34273844753796,109,0.0792838009109482,"Importaciones","Imports","Demand"
5,5.46102695080168,3.07024184845427,1.77869601821467,0.0783283899495034,0.410928510753478,10.5111253908499,108,0.124824428650598,"Importaciones","Imports","Demand"
6,3.91959233275706,4.11182502367906,0.95324881535207,0.342785702386893,-2.84375797083126,10.6829426363454,107,0.078540068114147,"Importaciones","Imports","Demand"
7,2.79488729415704,3.17193091756178,0.88113119951094,0.380402718805762,-2.42247478003395,8.01224936834804,106,0.0633820562344179,"Importaciones","Imports","Demand"
8,3.80469975618166,2.2212517824953,1.71286289387129,0.0899325213773766,0.151065705371838,7.45833380699148,105,0.0955322761085999,"Importaciones","Imports","Demand"
