"proxy","relevance_F","gamma1","exog_p_credit","exog_p_output","exog_p_inflation","n_obs"
"Selic_rate",0.228996046671964,-0.00304464555299975,0.0954181391923955,0.0939514391203373,0.110371796048905,334
"DXY",14.9698213826745,0.0167975219961536,0.489566942424807,0.911142071398418,0.219880432407177,335
"VIX",3.52638077301004,0.00395654907505364,0.1808228362562,0.749229464272924,0.899158613727702,344
"GFC_PCA",0.752422419215168,0.020447745977804,0.769813651892863,0.658489408234841,0.440102029142117,333
