"variable","horizon","full_coef","full_se","full_p","postit_coef","postit_se","postit_p","z_stat_equality","z_p_equality","ci_overlap"
"Credit_Total",3,-0.245538929167265,1.16906503860236,0.833772957342255,-0.233671987939166,1.43858143273841,0.871170451068721,0.00640173516904491,0.994892189234526,TRUE
"Credit_Real_MN",3,-1.96615607261101,1.15767428711115,0.0903753855995089,-0.496019828554486,0.753924829373608,0.511537046187223,1.06413986643501,0.287265343255203,TRUE
"Credit_USD",3,4.11265233944028,3.01918862527927,0.17406724720925,2.39579694143816,2.43110397426353,0.325877734979339,0.442909913067678,0.65783089688474,TRUE
"Credit_Total",6,-3.23940612126516,1.71866693416456,0.0603331327016109,-1.64504877665456,1.76612580747813,0.353053601086705,0.646968952651015,0.517652037603415,TRUE
"Credit_Real_MN",6,-4.94096070032707,1.99251881036565,0.0136473884609553,-0.920685515686315,1.39200095446209,0.509317922264861,1.65402841971026,0.0981217384461264,TRUE
"Credit_USD",6,0.912762749161843,3.33824005888457,0.784697074764918,-0.343405906235991,2.60558275911075,0.895314239965734,0.296635134940273,0.766745083738076,TRUE
"Credit_Total",12,-7.65628048038672,2.74502470347948,0.00559825152330819,-5.3123661341953,1.55280693840554,0.00080238689544269,0.743206384132648,0.45735673880683,TRUE
"Credit_Real_MN",12,-9.0641538250687,3.30173353987811,0.00638454792738994,-3.09398284086572,1.34476196002264,0.0227734699159907,1.67462246888284,0.0940083279406634,TRUE
"Credit_USD",12,-7.33488422012626,4.28000316824006,0.087532821042978,-7.23758646440734,2.49630955673303,0.00429790058110832,0.0196370920623965,0.984332874344934,TRUE
"Credit_Total",18,-4.28019524327448,2.57334561856574,0.09724460672417,-3.46014228170925,2.6387501922761,0.191835609117141,0.222489908661318,0.823932528142051,TRUE
"Credit_Real_MN",18,-6.35122394253035,2.52038656968472,0.0122284516761702,-2.31924802717725,1.70086631157375,0.174816612888483,1.32604282611313,0.184825512307112,TRUE
"Credit_USD",18,-4.86244038911444,4.14663840305488,0.241827760118686,-5.51630912235888,4.44914674015093,0.21703078834327,0.10751058918462,0.91438392505951,TRUE
"IMAEP",3,-2.29402937081006,1.36547282249914,0.0938929777015864,-3.50953302383067,2.35112606767388,0.137484165917774,0.447060385582894,0.654831460596765,TRUE
"IMAEP",6,-1.51202909909166,1.2851510435733,0.240230490494908,-0.361775996152845,2.23589997311369,0.87166879576144,0.446020118352187,0.655582713555813,TRUE
"IMAEP",12,0.340498203409734,1.17129046777917,0.771464682383734,2.23714919693445,2.01981537305347,0.269795448163397,0.812318618132574,0.416608830044678,TRUE
"IMAEP",18,2.30327725254112,1.19080240913584,0.0539754782957087,-1.05971806503187,1.52892774357134,0.489348002164808,1.73534104261196,0.0826804161649894,TRUE
