"horizon","FCI_coef","FCI_p","ToT_coef","ToT_p","Interaction_coef","Interaction_p","n_obs"
6,-2.4698545693154,0.183847022577316,0.0150391773077106,0.680788101312027,-0.0351809987906678,0.289357442633383,318
12,-3.84672915209492,0.0479824505817611,-0.0680385715938521,0.252612665852279,-0.0700013898125902,0.197613358254773,312
18,-5.10778117693622,0.0296579162600829,-0.168275536121053,0.0112353287355864,-0.0954121539239494,0.0893122653476296,306
