"window_size","mean_cv","median_cv","max_cv","pct_sign_consistent","n_windows","mean_corr_benchmark"
36,3399.82843513797,334.403265872697,31480.1362789146,66.6666666666667,325,0.358618608852799
48,552.320145337111,310.00988077229,1913.44336615334,58.3333333333333,313,0.205011725585943
60,6128.83512229682,488.428949239971,67510.0747988724,75,301,0.102782083935829
72,736.032154141627,407.021092027204,2556.39124154674,83.3333333333333,289,0.180614527278544
