"test","sample","metric","value","detail"
"Granger_TCN","Post-IT","TCN -> Commodities_lag12",0.140713703600101,"F=1.47, p=0.141, lag=12"
"Granger_TCN","Post-IT","TPM -> TCN_lag3",0.899437544461824,"F=0.20, p=0.899, lag=3"
"Granger_TCN","Post-IT","TPM -> TCN_lag6",0.993177563349677,"F=0.12, p=0.993, lag=6"
"Granger_TCN","Post-IT","TPM -> TCN_lag12",0.623627542954148,"F=0.83, p=0.624, lag=12"
"Granger_TCN","Post-IT","TCN -> TPM_lag3",0.911352460039246,"F=0.18, p=0.911, lag=3"
"Granger_TCN","Post-IT","TCN -> TPM_lag6",0.883047893479318,"F=0.39, p=0.883, lag=6"
"Granger_TCN","Post-IT","TCN -> TPM_lag12",0.603544070918412,"F=0.85, p=0.604, lag=12"
"TCN_loading","Full Sample","TCN_PCA_loading_ENDO",0.489253712811947,"TCN loading in FCI_ENDO (baseline, 9 vars)"
"TCN_loading","Full Sample","TCN_PCA_loading_EXO_withTCN",0.741312554266532,"TCN loading in alternative EXO group (4 vars), var_expl=37.8%"
"TCN_loading","Post-IT","TCN_PCA_loading_EXO_withTCN",0.645428779623032,"TCN loading in alternative EXO group (4 vars), var_expl=37.7%"
