"spec","variable","coef","se","t_stat","p_value","n_obs"
"Direct (3 global)","Selic_rate",0.0545339153689226,0.0148932049463449,3.66166419957218,0.000292264432147736,336
"Direct (3 global)","VIX",-0.0104545203596004,0.0125482501278167,-0.833145677932026,0.405372549389619,336
"Direct (3 global)","FFER",-0.171679092476348,0.0503888449751913,-3.40708528962855,0.000738840435771143,336
"Sequential: Selic only","Selic_rate",0.034096920516792,0.013150509454276,2.5928212618185,0.00994548574871934,336
"Sequential: +  VIX","Selic_rate",0.0339760756329813,0.012917046842787,2.63032843702613,0.00893381699198961,336
"Sequential: +  VIX, FFER","Selic_rate",0.0545339153689226,0.0148932049463449,3.66166419957218,0.000292264432147736,336
"Sequential: +  VIX, FFER, DXY","Selic_rate",0.0439645591875581,0.0105863241153714,4.15295797752134,4.19893568432393e-05,336
"Sequential: +  VIX, FFER, DXY, SP500","Selic_rate",0.0332917583953952,0.0107439916944524,3.09863962502737,0.00211437858720354,336
"Sequential: +  VIX, FFER, DXY, SP500, US_10Y","Selic_rate",0.0457968279253328,0.00930184295410848,4.92341444069479,1.35916877481695e-06,336
