"Variable","PCA_Loading","Method","Variance_Explained","GFC_Simple_PCA_Correlation"
"z_VIX",0.509151473697496,"GFC_PCA",47.2508410200771,-0.477444801516027
"z_DXY",-0.42540251112489,"GFC_PCA",47.2508410200771,-0.477444801516027
"z_US10Y",-0.838708122086511,"GFC_PCA",47.2508410200771,-0.477444801516027
"z_SP500_neg",0.763851637880491,"GFC_PCA",47.2508410200771,-0.477444801516027
"z_FFER",-0.797144210678074,"GFC_PCA",47.2508410200771,-0.477444801516027
