"horizon","impulse","response","irf","lower","upper","output_var","method"
3,"Credit_yoy","IMAEP_yoy",0.0202688030818968,-0.254953088097426,0.239210349101375,"IMAEP","SVAR"
4,"Credit_yoy","IMAEP_yoy",-0.000580168329280676,-0.271151543226015,0.184349777066922,"IMAEP","SVAR"
5,"Credit_yoy","IMAEP_yoy",-0.015372947049195,-0.273879340171101,0.155782323484042,"IMAEP","SVAR"
6,"Credit_yoy","IMAEP_yoy",-0.0262581226031947,-0.287359612514284,0.137786218592865,"IMAEP","SVAR"
7,"Credit_yoy","IMAEP_yoy",-0.0343532863625118,-0.292664283973299,0.128788231253308,"IMAEP","SVAR"
8,"Credit_yoy","IMAEP_yoy",-0.0404016428730259,-0.293826275912912,0.119004575031748,"IMAEP","SVAR"
9,"Credit_yoy","IMAEP_yoy",-0.0449269926160625,-0.291318701676098,0.111921642883417,"IMAEP","SVAR"
10,"Credit_yoy","IMAEP_yoy",-0.0483056423583771,-0.292271801342206,0.107077390834989,"IMAEP","SVAR"
11,"Credit_yoy","IMAEP_yoy",-0.0508098345595794,-0.27767562738219,0.0989783048906926,"IMAEP","SVAR"
12,"Credit_yoy","IMAEP_yoy",-0.0526375670239387,-0.261654949364736,0.0944616229955853,"IMAEP","SVAR"
13,"Credit_yoy","IMAEP_yoy",-0.053933698111231,-0.254934899452362,0.0882458020843081,"IMAEP","SVAR"
14,"Credit_yoy","IMAEP_yoy",-0.0548050030396472,-0.24302766293091,0.0868422978487678,"IMAEP","SVAR"
15,"Credit_yoy","IMAEP_yoy",-0.0553309340290624,-0.233746422085154,0.08387230104057,"IMAEP","SVAR"
16,"Credit_yoy","IMAEP_yoy",-0.0555713130090177,-0.223355964839065,0.0822445570311598,"IMAEP","SVAR"
17,"Credit_yoy","IMAEP_yoy",-0.0555718314631495,-0.215180352961472,0.0796299064849679,"IMAEP","SVAR"
18,"Credit_yoy","IMAEP_yoy",-0.0553679822569892,-0.204264937152357,0.0768177842796497,"IMAEP","SVAR"
19,"Credit_yoy","IMAEP_yoy",-0.0549878702664296,-0.192581309153948,0.0740833202768929,"IMAEP","SVAR"
20,"Credit_yoy","IMAEP_yoy",-0.0544542213799393,-0.185195689337902,0.073060562201638,"IMAEP","SVAR"
21,"Credit_yoy","IMAEP_yoy",-0.0537858184455937,-0.175750809670174,0.0706201079174685,"IMAEP","SVAR"
22,"Credit_yoy","IMAEP_yoy",-0.0529985276421906,-0.164805443856632,0.0682717989821852,"IMAEP","SVAR"
23,"Credit_yoy","IMAEP_yoy",-0.0521060321934905,-0.157611775242062,0.0656252041794525,"IMAEP","SVAR"
24,"Credit_yoy","IMAEP_yoy",-0.0511203570398923,-0.151951696451223,0.0625119933496417,"IMAEP","SVAR"
0,"FCI_COMP","Credit_yoy",0.319029444487457,0.00798961471267209,0.637467674131048,"IMAEP_SANB","SVAR"
1,"FCI_COMP","Credit_yoy",0.255574158237141,-0.117506194200851,0.62543785408693,"IMAEP_SANB","SVAR"
2,"FCI_COMP","Credit_yoy",0.0640689855557755,-0.336978312119459,0.445777444100032,"IMAEP_SANB","SVAR"
3,"FCI_COMP","Credit_yoy",-0.112120991987707,-0.527040976622888,0.249638690875621,"IMAEP_SANB","SVAR"
4,"FCI_COMP","Credit_yoy",-0.278370185963411,-0.70153763490016,0.0901652192069202,"IMAEP_SANB","SVAR"
5,"FCI_COMP","Credit_yoy",-0.431864726244808,-0.876988353287682,-0.0697626181981499,"IMAEP_SANB","SVAR"
6,"FCI_COMP","Credit_yoy",-0.573653969653031,-1.03564028328751,-0.201417940730136,"IMAEP_SANB","SVAR"
7,"FCI_COMP","Credit_yoy",-0.704289322073747,-1.18938639422751,-0.333130832614539,"IMAEP_SANB","SVAR"
8,"FCI_COMP","Credit_yoy",-0.824337576598939,-1.33152565105128,-0.422598662424379,"IMAEP_SANB","SVAR"
9,"FCI_COMP","Credit_yoy",-0.934279631267313,-1.46245380972077,-0.509737596202648,"IMAEP_SANB","SVAR"
10,"FCI_COMP","Credit_yoy",-1.03455193666113,-1.57330432056522,-0.591562559463529,"IMAEP_SANB","SVAR"
11,"FCI_COMP","Credit_yoy",-1.12555874999929,-1.67337412496434,-0.655804428326052,"IMAEP_SANB","SVAR"
12,"FCI_COMP","Credit_yoy",-1.20768354843631,-1.76364151440477,-0.71040601222834,"IMAEP_SANB","SVAR"
13,"FCI_COMP","Credit_yoy",-1.28129584158361,-1.84399548195837,-0.763922195205586,"IMAEP_SANB","SVAR"
14,"FCI_COMP","Credit_yoy",-1.34675554714644,-1.91281405323685,-0.799471356774889,"IMAEP_SANB","SVAR"
15,"FCI_COMP","Credit_yoy",-1.40441562065056,-1.95868727193659,-0.826696052440926,"IMAEP_SANB","SVAR"
16,"FCI_COMP","Credit_yoy",-1.45462355518804,-2.0052541115536,-0.84528614752453,"IMAEP_SANB","SVAR"
17,"FCI_COMP","Credit_yoy",-1.49772213833132,-2.05227158862431,-0.858697479733323,"IMAEP_SANB","SVAR"
18,"FCI_COMP","Credit_yoy",-1.53404973024931,-2.0844490102837,-0.859501972273862,"IMAEP_SANB","SVAR"
19,"FCI_COMP","Credit_yoy",-1.56394023864802,-2.11803521434087,-0.860889635053299,"IMAEP_SANB","SVAR"
20,"FCI_COMP","Credit_yoy",-1.58772290787465,-2.16976170354818,-0.844712476346917,"IMAEP_SANB","SVAR"
21,"FCI_COMP","Credit_yoy",-1.60572200024536,-2.20415324350888,-0.827825829162085,"IMAEP_SANB","SVAR"
22,"FCI_COMP","Credit_yoy",-1.61825642134795,-2.20338710636743,-0.817204230506483,"IMAEP_SANB","SVAR"
23,"FCI_COMP","Credit_yoy",-1.62563932341933,-2.22980077912213,-0.796327625420039,"IMAEP_SANB","SVAR"
24,"FCI_COMP","Credit_yoy",-1.62817770905991,-2.23607222706727,-0.772994707799661,"IMAEP_SANB","SVAR"
0,"FCI_COMP","IMAEP_SANB_yoy",-0.159429576320084,-0.498424398681427,0.162371319622551,"IMAEP_SANB","SVAR"
1,"FCI_COMP","IMAEP_SANB_yoy",-0.495649104239863,-0.87439124718305,-0.113514524425546,"IMAEP_SANB","SVAR"
2,"FCI_COMP","IMAEP_SANB_yoy",-0.430353487118928,-0.6932379932207,-0.159390072603761,"IMAEP_SANB","SVAR"
3,"FCI_COMP","IMAEP_SANB_yoy",-0.391909179084252,-0.620871233228931,-0.168629380335525,"IMAEP_SANB","SVAR"
4,"FCI_COMP","IMAEP_SANB_yoy",-0.355248782066848,-0.571398868004817,-0.132396015415996,"IMAEP_SANB","SVAR"
5,"FCI_COMP","IMAEP_SANB_yoy",-0.329094294133324,-0.54580784919937,-0.106471508383692,"IMAEP_SANB","SVAR"
6,"FCI_COMP","IMAEP_SANB_yoy",-0.309247280896325,-0.527599051847924,-0.0885911057934084,"IMAEP_SANB","SVAR"
7,"FCI_COMP","IMAEP_SANB_yoy",-0.293815273244198,-0.509420870318557,-0.0713929351775775,"IMAEP_SANB","SVAR"
8,"FCI_COMP","IMAEP_SANB_yoy",-0.281223228454186,-0.485789414202629,-0.0557344507583099,"IMAEP_SANB","SVAR"
9,"FCI_COMP","IMAEP_SANB_yoy",-0.270459570821817,-0.467293231742812,-0.04120612196959,"IMAEP_SANB","SVAR"
10,"FCI_COMP","IMAEP_SANB_yoy",-0.260847590619245,-0.444041955932458,-0.0268006902376252,"IMAEP_SANB","SVAR"
11,"FCI_COMP","IMAEP_SANB_yoy",-0.251945815208526,-0.428048963188163,-0.0186732383709331,"IMAEP_SANB","SVAR"
12,"FCI_COMP","IMAEP_SANB_yoy",-0.243468498582818,-0.408453367001813,-0.0137982143013995,"IMAEP_SANB","SVAR"
13,"FCI_COMP","IMAEP_SANB_yoy",-0.235234132822705,-0.390983633211061,-0.0100804259822693,"IMAEP_SANB","SVAR"
14,"FCI_COMP","IMAEP_SANB_yoy",-0.227130522506236,-0.38029951106777,-0.00296153524308369,"IMAEP_SANB","SVAR"
15,"FCI_COMP","IMAEP_SANB_yoy",-0.219091437812865,-0.366303387023884,0.00871109940804466,"IMAEP_SANB","SVAR"
16,"FCI_COMP","IMAEP_SANB_yoy",-0.211080956941381,-0.351843128659392,0.0217055056536967,"IMAEP_SANB","SVAR"
17,"FCI_COMP","IMAEP_SANB_yoy",-0.203082980019914,-0.340316422022387,0.0213342938102911,"IMAEP_SANB","SVAR"
18,"FCI_COMP","IMAEP_SANB_yoy",-0.195094208459098,-0.330917657782477,0.0198241783986767,"IMAEP_SANB","SVAR"
19,"FCI_COMP","IMAEP_SANB_yoy",-0.187119448857206,-0.323770098326091,0.0230481870633855,"IMAEP_SANB","SVAR"
20,"FCI_COMP","IMAEP_SANB_yoy",-0.179168475898818,-0.31247916472716,0.0277694131567748,"IMAEP_SANB","SVAR"
21,"FCI_COMP","IMAEP_SANB_yoy",-0.171253941016116,-0.297397064649897,0.0366393842029632,"IMAEP_SANB","SVAR"
22,"FCI_COMP","IMAEP_SANB_yoy",-0.16338998263697,-0.290840186267813,0.0422321447272495,"IMAEP_SANB","SVAR"
23,"FCI_COMP","IMAEP_SANB_yoy",-0.15559130721075,-0.278473527408488,0.0501209104294033,"IMAEP_SANB","SVAR"
24,"FCI_COMP","IMAEP_SANB_yoy",-0.147872586207465,-0.266692349223875,0.0511204273880363,"IMAEP_SANB","SVAR"
