"Model","Coef","SE","p_value","R2","AIC","n_obs"
"M1: Aggregate Commodities",2.02002981338564e-05,0.000192007504986406,0.916274934068748,0.0306062929750423,950.846191534901,346
"M2: Paraguay ToT",0.00369589353597068,0.00500402886927955,0.460708097048731,0.0344015894778634,903.001228871261,324
"M3: All Disaggregated",NA,NA,9.75292270651593e-16,0.262337445992109,872.324404486654,346
