"type","horizon","sample","n_obs","DXY_coef","DXY_t","DXY_p","partial_R2","F_stat"
"unconditional",NA,"post-IT (May 2011+)",176,-0.00319241197965419,-0.377063623846352,0.706602185006246,0.00187663650759491,0.142176976428143
"conditional",6,"post-IT (May 2011+)",168,0.00860119051004003,2.6362365159483,0.00924155611864469,0.00372137565549779,6.4668053477904
"conditional",12,"post-IT (May 2011+)",162,0.00919629228483784,2.77709286815597,0.00619470644284457,0.00421667096917155,6.73556909347159
"conditional",18,"post-IT (May 2011+)",156,0.00920771722026576,2.85983482078784,0.00487839281937366,0.00456566957466753,6.58487860189079
