"fecha","FCI_COMP_AVG","crisis_indicator","FCI_high","FCI_low"
1997-01-01,0.907827779957865,0,0,0.907827779957865
1997-02-01,0.672914182718449,0,0,0.672914182718449
1997-03-01,0.765426778996786,0,0,0.765426778996786
1997-04-01,0.737185983488553,0,0,0.737185983488553
1997-05-01,0.571133889615742,0,0,0.571133889615742
1997-06-01,0.534755933114706,0,0,0.534755933114706
1997-07-01,0.769028586280668,0,0,0.769028586280668
1997-08-01,0.707244195499611,0,0,0.707244195499611
1997-09-01,0.596216861880141,0,0,0.596216861880141
1997-10-01,0.390510543366883,0,0,0.390510543366883
1997-11-01,0.4173930979845,0,0,0.4173930979845
1997-12-01,0.582540688600535,0,0,0.582540688600535
1998-01-01,0.4781453152807,0,0,0.4781453152807
1998-02-01,0.556439166623809,0,0,0.556439166623809
1998-03-01,0.476469365468729,0,0,0.476469365468729
1998-04-01,0.627548395588765,0,0,0.627548395588765
1998-05-01,0.76259058005202,0,0,0.76259058005202
1998-06-01,1.04396883438748,1,1.04396883438748,0
1998-07-01,1.03054043788698,1,1.03054043788698,0
1998-08-01,1.38994090948221,1,1.38994090948221,0
1998-09-01,1.60153638872583,1,1.60153638872583,0
1998-10-01,1.35407170642766,1,1.35407170642766,0
1998-11-01,0.658410955464424,0,0,0.658410955464424
1998-12-01,0.410585816317081,0,0,0.410585816317081
1999-01-01,0.656767637429098,0,0,0.656767637429098
1999-02-01,0.701888115105297,0,0,0.701888115105297
1999-03-01,0.478588025928621,0,0,0.478588025928621
1999-04-01,0.609937688967897,0,0,0.609937688967897
1999-05-01,0.730856868822315,0,0,0.730856868822315
1999-06-01,0.379830606469747,0,0,0.379830606469747
1999-07-01,0.478572450338112,0,0,0.478572450338112
1999-08-01,0.639407073366991,0,0,0.639407073366991
1999-09-01,0.33553616139634,0,0,0.33553616139634
1999-10-01,0.232822973170088,0,0,0.232822973170088
1999-11-01,0.246519672439772,0,0,0.246519672439772
1999-12-01,0.283157395853544,0,0,0.283157395853544
2000-01-01,0.628164471546083,0,0,0.628164471546083
2000-02-01,0.629358728717129,0,0,0.629358728717129
2000-03-01,0.789881769257181,0,0,0.789881769257181
2000-04-01,0.971551203110824,1,0.971551203110824,0
2000-05-01,0.98819224278194,1,0.98819224278194,0
2000-06-01,1.01684085943362,1,1.01684085943362,0
2000-07-01,1.0475055063492,1,1.0475055063492,0
2000-08-01,0.913072077952105,0,0,0.913072077952105
2000-09-01,1.00258178657534,1,1.00258178657534,0
2000-10-01,0.924340038419738,0,0,0.924340038419738
2000-11-01,0.746389835514769,0,0,0.746389835514769
2000-12-01,0.514274437985058,0,0,0.514274437985058
2001-01-01,0.418921795267289,0,0,0.418921795267289
2001-02-01,0.291526782783545,0,0,0.291526782783545
2001-03-01,0.445714047485897,0,0,0.445714047485897
2001-04-01,0.506095302984352,0,0,0.506095302984352
2001-05-01,0.387211520497904,0,0,0.387211520497904
2001-06-01,0.142507427465481,0,0,0.142507427465481
2001-07-01,0.229186026014901,0,0,0.229186026014901
2001-08-01,0.393825507377917,0,0,0.393825507377917
2001-09-01,0.58886509484742,0,0,0.58886509484742
2001-10-01,0.559183598041403,0,0,0.559183598041403
2001-11-01,0.504235549335001,0,0,0.504235549335001
2001-12-01,0.413621895828277,0,0,0.413621895828277
2002-01-01,0.317297351959115,0,0,0.317297351959115
2002-02-01,0.57858136747859,0,0,0.57858136747859
2002-03-01,0.754827720446678,0,0,0.754827720446678
2002-04-01,0.769705255570955,0,0,0.769705255570955
2002-05-01,0.696117139799905,0,0,0.696117139799905
