"output_var","horizon","lp_coef","lp_se","svar_irf","svar_lower","svar_upper","difference"
"IMAEP",3,-2.29402937081006,1.36547282249914,-0.332481184442306,-0.604843217108634,-0.0365038951187655,-1.96154818636775
"IMAEP",6,-1.51202909909166,1.2851510435733,-0.208509125866786,-0.426844725864922,0.0805039579151648,-1.30351997322488
"IMAEP",12,0.340498203409734,1.17129046777917,-0.121571047213757,-0.315976577411027,0.142814784383729,0.46206925062349
"IMAEP",18,2.30327725254112,1.19080240913584,-0.0836339434503865,-0.247969974983344,0.135247794978586,2.3869111959915
"IMAEP",24,1.44856198361353,0.985906786712701,-0.0553582587048386,-0.191212459289624,0.134625234249955,1.50392024231837
"IMAEP_SANB",3,-2.33059567858847,1.41260910169494,-0.391909179084252,-0.620871233228931,-0.168629380335525,-1.93868649950422
"IMAEP_SANB",6,-1.79706228556686,1.51210888261896,-0.309247280896325,-0.527599051847924,-0.0885911057934084,-1.48781500467053
"IMAEP_SANB",12,-0.487950855015272,1.08736136714838,-0.243468498582818,-0.408453367001813,-0.0137982143013995,-0.244482356432453
"IMAEP_SANB",18,1.27260566547965,1.05656178231018,-0.195094208459098,-0.330917657782477,0.0198241783986767,1.46769987393875
"IMAEP_SANB",24,1.83867214082808,0.768673754690978,-0.147872586207465,-0.266692349223875,0.0511204273880363,1.98654472703555
