"horizon","first_stage_F","first_stage_p","partial_R2","wu_hausman","wu_hausman_p","sargan_stat","sargan_p","n_obs","credit_type"
1,1.38186534044117,0.248163806137089,0.000430714861018755,0.404547760082961,0.525186798135358,4.8660262176277,0.0877719672605816,345,"Total"
2,1.39157525844731,0.245219207542934,0.000435831196972103,1.03142122871007,0.310564631182618,3.35578769835995,0.186766921397717,344,"Total"
3,1.38273766001145,0.247909458076795,0.000435161813157503,1.65626876132012,0.19900712809226,2.42890487606468,0.296872525901825,343,"Total"
4,1.39166693865429,0.245203695121042,0.000440020058121604,1.10159874639494,0.294683545759563,2.39363638603835,0.302154080005949,342,"Total"
5,1.54654420455553,0.202333248458456,0.000486485309259432,0.658952188262025,0.417517017356154,3.47434961222892,0.176016980917124,341,"Total"
6,1.5176650030106,0.209763406143177,0.000479060267309817,0.874067978658814,0.3505193524367,5.20985823689002,0.0739083757524953,340,"Total"
7,1.53937035943323,0.204167248629025,0.000487623031214968,1.37503507396796,0.241802195401316,7.43410550310934,0.0243054967246606,339,"Total"
8,1.54038460314459,0.20391555844786,0.000489762187291132,1.7273174620445,0.189677808017072,9.6839926067257,0.00789128491822396,338,"Total"
9,1.30802637557921,0.271737726832362,0.000416625921906277,1.10952098328377,0.292968580694705,14.2174997733119,0.000817916842016362,337,"Total"
10,1.27553297622539,0.282726869578399,0.000408138964899551,0.720228830302665,0.396695421744316,19.519469159544,5.77299427964943e-05,336,"Total"
11,1.31497746330569,0.26945136386175,0.000422382017059242,0.63312429212899,0.426795970383132,25.1458952023509,3.46448141198017e-06,335,"Total"
12,1.22586460383451,0.300305792635438,0.000393116334201804,0.0049987438535084,0.943678981927537,35.3280953927276,2.13108885277234e-08,334,"Total"
13,1.31362539280336,0.269909350310166,0.000416841280381886,1.01669109482616,0.314064624558099,30.7035634904625,2.15181980644058e-07,333,"Total"
14,1.27566769123794,0.282704471677291,0.000406123439601447,0.676967066978156,0.411245759170742,35.557216894896,1.90041502495194e-08,332,"Total"
15,1.29033840836056,0.277703742115265,0.000412694734194807,0.940499650797602,0.332884097331658,35.1778981196403,2.29729348444421e-08,331,"Total"
16,1.34055017644042,0.261178957542729,0.000429962349367985,2.82283288542318,0.0939142895821985,24.9905094640899,3.74437916398419e-06,330,"Total"
17,1.55034487629873,0.201456694170087,0.000494144384246775,8.34829746542097,0.00412647904129101,14.0054204871614,0.000909413889365581,329,"Total"
18,1.53506301342955,0.205343288920614,0.000490960208722635,9.36806144563857,0.00239735654344833,13.0189869084359,0.00148923389718054,328,"Total"
19,1.7365150704156,0.159421745095337,0.000550780065045386,14.6165237375025,0.000158792613937532,9.32840321218312,0.00942677149678197,327,"Total"
20,1.68559996352045,0.170020743602466,0.000536160122351359,12.6567103781839,0.000431962237439213,10.6098675184867,0.00496702723718332,326,"Total"
21,2.02030520655907,0.111009026914269,0.000636894593891602,16.439255210458,6.34554325314315e-05,8.90828122967556,0.0116303104973931,325,"Total"
22,1.99718185966085,0.114363044427815,0.000631705875327904,15.7210567678362,9.10709869838326e-05,9.23174040370102,0.00989357025677571,324,"Total"
23,2.19667003185844,0.0884313148178054,0.000694054448857284,16.3214968703275,6.74101686086834e-05,9.0892099113238,0.0106243689841549,323,"Total"
24,1.93364207748146,0.124081380224496,0.000609246409267516,11.9141261256569,0.000634443398235445,11.3743231124456,0.00338919938119024,322,"Total"
1,2.13209267482706,0.0959816934468675,0.000670242418260969,0.164328309394882,0.685462725094954,0.532255101923385,0.766341373687657,345,"Real_MN"
2,2.14537679987794,0.0943530028362052,0.000677628636719607,0.189041428911667,0.663998100308871,2.0682832241211,0.355531433874268,344,"Real_MN"
3,2.14194907867512,0.0947787907807159,0.000679799673521941,0.758730584292764,0.384357385487864,4.50729075757887,0.105015703927926,343,"Real_MN"
4,2.1556408126822,0.0931210334944573,0.000687282885541651,0.90932105147458,0.34099258490816,7.93055476654929,0.0189627759259678,342,"Real_MN"
5,2.33338406030394,0.0739322656067458,0.000740105890095211,1.89300503529817,0.169799254323971,8.64042641303782,0.0132970482228368,341,"Real_MN"
6,2.2985475339043,0.07736942797073,0.000731629628210828,2.36456600116572,0.125082515135183,10.8459333473418,0.00441403221117962,340,"Real_MN"
7,2.32372484997778,0.0748809736801467,0.000742231583221287,2.58232416638809,0.109028023095386,14.2268394571549,0.000814106204122537,339,"Real_MN"
8,2.3217499465119,0.0750801374016931,0.0007443550504308,3.01884582012598,0.083246422235324,16.0360462644691,0.000329470699456713,338,"Real_MN"
9,2.01980906496883,0.110993937049787,0.000648885908685282,2.4471367391224,0.11871261390257,20.3008281874684,3.90599038649245e-05,337,"Real_MN"
10,1.97245834641394,0.117961547097751,0.000636589397732257,2.31154316355266,0.129391760987544,24.2491063341885,5.42467175101198e-06,336,"Real_MN"
11,2.02578301338127,0.110158225007481,0.000656349259263389,2.09964983103534,0.148303007171954,28.8338044769242,5.48048396858862e-07,335,"Real_MN"
12,1.89459653085467,0.130342322705458,0.000612845047437971,1.25280634554458,0.263851391457121,36.0262622704453,1.503130012055e-08,334,"Real_MN"
13,2.02204887241023,0.110702578724791,0.000647293494195567,3.63995700240141,0.05730046008948,28.2652687751114,7.28240571809672e-07,333,"Real_MN"
14,1.96694071059848,0.118827741618942,0.00063173217999013,2.56051387976305,0.110549735822428,34.1791404076968,3.7852447203279e-08,332,"Real_MN"
15,1.98588784805389,0.115981223839614,0.000640747107525597,1.94039787022129,0.164595309085207,39.4152610308044,2.76111703739463e-09,331,"Real_MN"
16,2.05459740753164,0.106182859869142,0.00066478421740801,2.73869214913693,0.0989314678764389,36.7327400722718,1.0558126004243e-08,330,"Real_MN"
17,2.32059201025469,0.0752522569174595,0.000745843185256945,4.58299100579585,0.0330533217491365,33.2734867190671,5.95325056851699e-08,329,"Real_MN"
18,2.29908528343508,0.077394075756874,0.000741475289495419,4.11480065243248,0.0433478722734383,36.9304728768761,9.56422331160426e-09,328,"Real_MN"
19,2.52953484087643,0.0572954845238616,0.000808933942655243,6.0762471140001,0.0142342576945793,33.4828240245807,5.36163374419961e-08,327,"Real_MN"
