"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","step"
1,-2.46271779189199,1.5325490218665,-1.60694226204434,0.111099029609367,-4.98353660899002,0.0581010252060512,112,0.756668780608371,"FCI->Credit"
2,-5.45261594681992,1.69061610654431,-3.22522418052984,0.00168718761305512,-8.2334319814519,-2.67179991218793,111,0.655070828666405,"FCI->Credit"
3,-7.44557126286821,2.031916615782,-3.66430945297562,0.000395575008626359,-10.7877766780002,-4.10336584773622,110,0.597519343313262,"FCI->Credit"
4,-8.75639736169401,2.20217508887894,-3.9762493935719,0.000131715779420607,-12.3786530438187,-5.13414167956931,109,0.530734753474402,"FCI->Credit"
5,-8.17010935764313,2.30149664601191,-3.54991147686463,0.000589068869079096,-11.9557344632525,-4.3844842520338,108,0.413449306871135,"FCI->Credit"
6,-6.26539166046742,2.33008823384418,-2.68890747116936,0.00841269834170937,-10.098045743023,-2.43273757791188,107,0.35069233807131,"FCI->Credit"
7,-4.68935750005419,2.0724574120183,-2.26270391510115,0.0258610537882848,-8.09824659091495,-1.28046840919344,106,0.309333401113935,"FCI->Credit"
8,-3.54923281779467,1.58416306582998,-2.24044663983827,0.0273436435607243,-6.15494918230767,-0.943516453281661,105,0.326832879722075,"FCI->Credit"
1,-1.7677292748259,1.16888746353242,-1.51231776366542,0.133485914553985,-3.6903780587153,0.154919509063509,112,0.185286881198639,"FCI->PIB (no credit)"
2,-1.58773291586629,1.01843321299932,-1.55899561758238,0.122064835378488,-3.26290648007607,0.0874406483434937,111,0.152343659940616,"FCI->PIB (no credit)"
3,-1.07526725311942,0.908481961751368,-1.18358679466406,0.23932776681434,-2.56958710292614,0.419052596687308,110,0.103992942530546,"FCI->PIB (no credit)"
4,-0.302945821002032,0.941846818612705,-0.321650840683686,0.748381952513966,-1.85214597662984,1.24625433462578,109,0.0384003743909937,"FCI->PIB (no credit)"
5,2.42199889516834,0.948057201811761,2.55469700619313,0.0121354487197738,0.862583568210799,3.98141422212588,108,0.102207074783052,"FCI->PIB (no credit)"
6,0.990488897209321,1.03230207015958,0.959495215442323,0.339646821419398,-0.707496907002175,2.68847470142082,107,0.0706419054079794,"FCI->PIB (no credit)"
7,1.33134069990656,0.932647948993814,1.42748472383698,0.156618978436965,-0.202728661664767,2.86541006147789,106,0.116637674635745,"FCI->PIB (no credit)"
8,1.49574593432224,0.684301888596684,2.18579834316928,0.0312368854592185,0.370169490934245,2.62132237771024,105,0.163030089593861,"FCI->PIB (no credit)"
1,-1.83852184805895,1.21161931798116,-1.51740882699226,0.132287395647556,-3.83145827772473,0.154414581606824,112,0.215018857925923,"FCI->PIB (credit controlled)"
2,-1.96397763572352,1.08273573927847,-1.8139030277437,0.0726915503103383,-3.74491944350569,-0.183035827941356,111,0.177885928180162,"FCI->PIB (credit controlled)"
3,-1.48443523256563,0.876017536990839,-1.69452684436517,0.0933088241792441,-2.92535585555811,-0.0435146095731578,110,0.152520593951457,"FCI->PIB (credit controlled)"
4,-0.873678612071473,0.912371151472505,-0.957591228812327,0.340625349607536,-2.37439560969691,0.627038385553967,109,0.097805251534542,"FCI->PIB (credit controlled)"
5,2.13393350433766,0.998867911166135,2.13635204463259,0.0351671601557294,0.490941997810598,3.77692501086471,108,0.120830362810545,"FCI->PIB (credit controlled)"
6,0.407297541609785,0.879594109003611,0.463051693321553,0.644375316103485,-1.03950601882995,1.85410110204952,107,0.112514918651303,"FCI->PIB (credit controlled)"
7,0.744865215201222,1.02719664328343,0.725143739586479,0.470146269512051,-0.944722909095899,2.43445333949834,106,0.160759941149174,"FCI->PIB (credit controlled)"
8,0.877887104329018,0.634695092701388,1.383163529109,0.169891253218093,-0.16609342090916,1.9218676295672,105,0.214415568271999,"FCI->PIB (credit controlled)"
