"proxy","response","horizon","irf_point","ci_lower","ci_upper","n_boot_valid"
"Selic_rate","FCI_ENDO_exCredit_AVG",0,-0.166737798027416,-0.166734580111904,0.16673796217011,500
"Selic_rate","FCI_ENDO_exCredit_AVG",1,-0.139181983398936,-0.196719368993741,0.209804644462089,500
"Selic_rate","FCI_ENDO_exCredit_AVG",2,-0.123090470881511,-0.218417762559894,0.233202647609428,500
"Selic_rate","FCI_ENDO_exCredit_AVG",3,-0.124126724773953,-0.231018392926717,0.250110443609693,500
"Selic_rate","FCI_ENDO_exCredit_AVG",4,-0.132202320092766,-0.239745837366806,0.27005047080019,500
"Selic_rate","FCI_ENDO_exCredit_AVG",5,-0.144426616826502,-0.247024235248232,0.281978591732118,500
"Selic_rate","FCI_ENDO_exCredit_AVG",6,-0.159367179929992,-0.248594572845225,0.287955766995746,500
"Selic_rate","FCI_ENDO_exCredit_AVG",7,-0.176067554252599,-0.25109533308266,0.295255255078601,500
"Selic_rate","FCI_ENDO_exCredit_AVG",8,-0.193839410630424,-0.25370587959662,0.299807050503096,500
"Selic_rate","FCI_ENDO_exCredit_AVG",9,-0.212161227922114,-0.254532880902304,0.320148149946356,500
"Selic_rate","FCI_ENDO_exCredit_AVG",10,-0.230627962227097,-0.254565469813491,0.323597478885625,500
"Selic_rate","FCI_ENDO_exCredit_AVG",11,-0.248921460345933,-0.255517667245715,0.324292220881264,500
"Selic_rate","FCI_ENDO_exCredit_AVG",12,-0.26679053597662,-0.255061447520944,0.324475830946393,500
"Selic_rate","FCI_ENDO_exCredit_AVG",13,-0.284036659051457,-0.255131500770941,0.326582151627009,500
"Selic_rate","FCI_ENDO_exCredit_AVG",14,-0.300503338773616,-0.260629419806367,0.332888255461309,500
"Selic_rate","FCI_ENDO_exCredit_AVG",15,-0.316068095453681,-0.267890475349348,0.341758513112695,500
"Selic_rate","FCI_ENDO_exCredit_AVG",16,-0.330636302592057,-0.267226686489517,0.350838652113444,500
"Selic_rate","FCI_ENDO_exCredit_AVG",17,-0.344136400587255,-0.263622989048208,0.361477193130124,500
