"credit_type","horizon","n","mean_depvar","sd_depvar"
"Total",6,340,7.73712515222171,12.15262299661
"Total",12,334,7.62649768534517,12.2316514602944
"Total",18,328,7.55123642639946,12.3251812158494
"USD",6,340,16.1750943253202,17.0566781744719
"USD",12,334,15.4831255676903,16.3825276542878
"USD",18,328,14.6567190773556,15.3288430157482
"Real_MN",6,340,6.97603952390923,13.372958876697
"Real_MN",12,334,7.12944477636423,13.4411835975148
"Real_MN",18,328,7.35620908434885,13.4526036068665
