"fecha","VIX","SP500","DXY","US_10Y","FFER","Selic_rate","d_ToT","FCI_ENDO_AVG","Cred_Real_Total","IMAEP_yoy","IPC_yoy","FCI_actual"
1999-03-01,0.00441114216964236,0.00217866206728208,0.0129408975551132,-0.000544288094712726,0.0035568199356386,-0.0599974538264103,-0.000335095766296975,-0.114518322544838,0,0,0,0.551792644765816
1999-04-01,0.0157446377430999,0.00578154018984308,-0.00278105048672442,0.00358984298498169,0.00647061568467569,0.109613409151329,0.0037186174374586,-0.0790793917673026,0.000170284586565624,0.00275650646896313,-0.015025480287367,0.749771226886838
1999-05-01,0.0328145916197211,-0.00347504717014235,0.0265734148965339,0.0281290990400304,0.00589762314664423,0.0218880186619928,0.00862942114509221,-0.0355412511040725,-0.0038060246957226,0.0084626055656182,-0.037417682904446,0.723026707934902
1999-06-01,0.0387482653600958,-0.00195733057183411,0.0289707911363131,0.0319237002467119,0.000861177870311586,0.0300546193503573,0.0172299654602489,-0.321333918345232,-0.00779160960894161,0.0142110306217049,-0.0574341955027115,0.386130892809165
1999-07-01,0.0434861381160788,0.008470318967122,0.00211926262595477,0.033510170388636,0.000421585310430668,-0.0348278173426653,-0.0160803329104466,-0.0422835606143614,-0.00965213523011941,0.0188392294846931,-0.0613881913106105,0.481441653059355
1999-08-01,0.0603064351866263,0.0338874157591058,0.0149036117728635,0.0412846499372973,0.00348899582336546,-0.0592508835621655,-0.00680212379830168,-0.0223875971878784,-0.00410588690848217,0.0252359275979572,-0.0376369940158093,0.501908733010265
1999-09-01,0.0775607764072252,0.0321683490967245,-0.00089000077663072,0.0238887455646964,0.0135287715687699,-0.0883126103104286,-0.0295718051034467,-0.0957349920605223,-0.00506447431238936,0.0185562764814943,-0.0188160367184816,0.286484103571217
1999-10-01,0.0947872108982485,0.0510148894489275,0.028207027871481,0.00991281244848063,0.0278785175520867,-0.100437223487186,-0.0859089303762768,-0.117604020770592,0.0158599252399983,0.00328211274031521,-0.0209546314517625,0.166197986710108
1999-11-01,0.104916044736749,0.0529586010340942,0.0606016507398407,-0.00815446874248651,0.047770934259772,-0.114823376162263,-0.0818620537847736,-0.0249052903623621,0.0286633228983496,-0.00195676110284134,-0.0150703102733205,0.206747395517049
1999-12-01,0.111000616845586,0.0450670654618007,0.0437418460132597,-0.00336382433839731,0.0538712003912634,-0.11770500061223,-0.0547905394261285,0.00794256825154722,0.0794937621080484,-0.00174630352937876,-0.00746827845844217,0.212773865586209
2000-01-01,0.129334924261378,0.0273656526176825,0.108629552351744,-0.0296362794018093,0.0584399809426868,-0.0994054311233946,-0.0349317508033415,0.350114586293109,0.114979903633617,-0.00947885026787105,-0.00531433092273308,0.56651228566818
2000-02-01,0.145413128147292,0.0501930934156106,0.118417997463598,-0.06498496984412,0.075497462587743,-0.0837193732275478,-0.0451945366213238,0.299186061669176,0.148023290868304,0.00147904148605471,-0.00316835484580172,0.500359878458593
2000-03-01,0.149074609602369,0.0617080246769125,0.141803246909118,-0.0618211846808882,0.0864611918533178,-0.0663889844821621,-0.0536502585700283,0.44019491880448,0.172239203299611,0.0144470056649839,-0.00145340881155513,0.649019651718585
2000-04-01,0.169824677104275,0.0308151076726479,0.231805636351778,-0.0461656813586804,0.101446204221873,-0.0419222660816996,-0.0770881141543966,0.52705225272469,0.194468433351892,0.0208600212420165,0.0109293321257262,0.801005884580863
2000-05-01,0.182811426961473,0.0318392609911324,0.207776262105085,-0.0396947640020483,0.127192487583366,-0.0369701008215918,-0.047049203754033,0.427708388388767,0.198779592128895,0.0188839190804173,0.0129707472269979,0.681955726046393
