"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side"
1,-5.23708364410963,4.36016403814774,-1.20112078313788,0.236130286146715,-12.4089152763603,1.93474798814106,55,0.435026595165152,"Agricultura","Agriculture","Supply"
2,-4.10596570798715,6.31998491004225,-0.649679669561062,0.519354878992518,-14.5014158095487,6.28948439357442,54,0.419139439378848,"Agricultura","Agriculture","Supply"
3,-0.0633278626774368,4.84274827809312,-0.0130768437756531,0.989628406603021,-8.0289399323119,7.90228420695703,53,0.37908077139055,"Agricultura","Agriculture","Supply"
4,2.46795711261489,6.2069917517114,0.397609214147002,0.692980900424316,-7.74163578264547,12.6775500078752,52,0.471595675214089,"Agricultura","Agriculture","Supply"
5,7.09148697291396,6.75129688035829,1.05038885099919,0.299844244241139,-4.01340818736953,18.1963821331975,51,0.432562261350433,"Agricultura","Agriculture","Supply"
6,4.79974408978929,5.22798678815347,0.91808649950406,0.364216801069076,-3.79952894035932,13.3990171199379,50,0.323272179634418,"Agricultura","Agriculture","Supply"
1,-3.59180172866115,1.68176786930985,-2.13572978423897,0.0383045349291107,-6.35806370818589,-0.8255397491364,55,0.24010799503614,"Ganaderia_fp","Livestock+","Supply"
2,-4.3651195927681,1.6495828377334,-2.6461960520673,0.0113264588603917,-7.07844190637078,-1.65179727916541,54,0.219952690101995,"Ganaderia_fp","Livestock+","Supply"
3,-1.25911758390937,2.13486022547202,-0.589789237199814,0.558491745003255,-4.77065016881146,2.25241500099273,53,0.17447210384528,"Ganaderia_fp","Livestock+","Supply"
4,0.0876337209140281,1.94681795860575,0.045013823982181,0.964314821249162,-3.1145968593129,3.28986430114095,52,0.294038212977368,"Ganaderia_fp","Livestock+","Supply"
5,1.35500186673595,1.73740256174886,0.77990092599611,0.440039764967692,-1.50277103843144,4.21277477190334,51,0.336673256586748,"Ganaderia_fp","Livestock+","Supply"
6,-0.496961340713989,1.26485107023409,-0.392901071445522,0.696532000285565,-2.57745621114198,1.583533529714,50,0.342331442686795,"Ganaderia_fp","Livestock+","Supply"
1,-0.981240741985924,1.51132885904844,-0.649256934459475,0.519547259995236,-3.46715549730818,1.50467401333633,55,0.183276974085608,"Manufactura","Manufacturing","Supply"
2,-1.03588713112366,1.52669957146976,-0.678514064248025,0.501081337220058,-3.54708445852096,1.47531019627363,54,0.188499398036772,"Manufactura","Manufacturing","Supply"
3,-1.29258654248844,1.1676933089537,-1.10695722290869,0.274612265904012,-3.21327111688789,0.628098031911015,53,0.243663084281583,"Manufactura","Manufacturing","Supply"
4,0.0441184530130261,1.13134621939978,0.0389964205974301,0.969082512959828,-1.81678047930453,1.90501738533058,52,0.216696509551693,"Manufactura","Manufacturing","Supply"
5,2.26544022959008,1.47079352819967,1.54028433369781,0.131365570503639,-0.153799839765894,4.68468029894606,51,0.195571289527798,"Manufactura","Manufacturing","Supply"
6,0.233700059513057,1.09685816787221,0.213063152883669,0.832387551816155,-1.57047107616289,2.037871195189,50,0.281518229232983,"Manufactura","Manufacturing","Supply"
1,4.18856142453398,1.87945974856599,2.22859863198975,0.0309974758122505,1.0971252403959,7.27999760867205,55,0.552137259887637,"Electricidad_y_agua","Electricity & Water","Supply"
2,2.90689265094614,2.52557711719057,1.15098154443993,0.256100051846129,-1.24731203041041,7.06109733230269,54,0.514661422497704,"Electricidad_y_agua","Electricity & Water","Supply"
3,1.84807546856132,2.84765435867601,0.648981665534916,0.519883421666168,-2.83589913161108,6.53205006873372,53,0.470745948267478,"Electricidad_y_agua","Electricity & Water","Supply"
4,-0.519746087151154,2.50103779802567,-0.207812168037382,0.836404462617805,-4.6335871803764,3.59409500607409,52,0.427756020700863,"Electricidad_y_agua","Electricity & Water","Supply"
5,-1.05712777484051,2.12796111200116,-0.496779649251381,0.622063861402801,-4.55731232792731,2.44305677824628,51,0.381806368271922,"Electricidad_y_agua","Electricity & Water","Supply"
6,-5.04177945311967,1.73953190107322,-2.89835412044418,0.00612749732034344,-7.90305480979775,-2.18050409644159,50,0.326118487986134,"Electricidad_y_agua","Electricity & Water","Supply"
1,-5.76735464736902,2.16850526161722,-2.65959910241024,0.0108718923316609,-9.33422839200345,-2.20048090273459,55,0.563652954443612,"Construccion","Construction","Supply"
2,-4.0216927709673,2.37742136160196,-1.6916196833772,0.0979546373868738,-7.9322029203902,-0.111182621544408,54,0.605054655076452,"Construccion","Construction","Supply"
3,-0.686659404329064,1.9125544618267,-0.359027373094112,0.721373291752808,-3.83253154760693,2.4592127389488,53,0.547442536562743,"Construccion","Construction","Supply"
4,1.2114084237324,2.1802917254199,0.555617585302303,0.581491692038842,-2.37485232863681,4.79766917610161,52,0.473924365622978,"Construccion","Construction","Supply"
5,5.60584040399312,1.98640203177009,2.82210766719652,0.00739572509883997,2.33849981745231,8.87318099053393,51,0.493086609109488,"Construccion","Construction","Supply"
6,-0.340813908452687,1.87574043056095,-0.181695666895,0.856762646794825,-3.42613235888038,2.74450454197501,50,0.534283770615309,"Construccion","Construction","Supply"
1,-1.47945648956128,1.71185085438549,-0.864243801246553,0.392141178460923,-4.29520057619723,1.33628759707468,55,0.089011013356635,"Servicios","Services","Supply"
2,-0.727460356102183,1.418152682213,-0.512963353823791,0.610602352431595,-3.06011393901119,1.60519322680682,54,0.286815119503918,"Servicios","Services","Supply"
3,-0.33011444576931,1.29817669752636,-0.254290842223816,0.800511776304594,-2.46542509511943,1.80519620358081,53,0.280743356620242,"Servicios","Services","Supply"
4,-0.667429575945609,0.849624783435326,-0.785558035686013,0.436642802115023,-2.06493798252706,0.730078830635845,52,0.137550546712148,"Servicios","Services","Supply"
5,2.20416743582831,1.38673964072724,1.58946017773919,0.119830403739875,-0.0768162918592812,4.4851511635159,51,0.118314732201185,"Servicios","Services","Supply"
6,0.0883665594862588,0.929108983868521,0.095108928038052,0.924715315044745,-1.43988172246307,1.61661484143559,50,0.159548553058124,"Servicios","Services","Supply"
1,-1.2887375897861,1.66557576673755,-0.773749003511508,0.443216777720148,-4.02836593066684,1.45089075109465,55,0.12798727588616,"PIB","GDP","Supply"
