"sample","comparison","horizon","baseline_coef","baseline_se","baseline_p","alt_coef","alt_se","alt_p","z_stat","z_p_equality","significant_diff"
"Full Sample","ENDO: noTCN_exCred vs baseline_exCred",6,-4.41055175507,1.77783128414571,0.0136059649668551,-5.09956006928374,1.88197634664163,0.00708755567341313,0.26613710857963,0.790133616709868,FALSE
"Full Sample","ENDO: noTCN_exCred vs baseline_exCred",12,-7.94846064735573,2.78870955530668,0.0046495589709702,-6.02054231607976,2.51119985742858,0.0170759659895957,0.513736765114672,0.607436043899074,FALSE
"Full Sample","ENDO: noTCN_exCred vs baseline_exCred",18,-3.1602571417638,2.93079196472835,0.281722128009966,-1.00576965871304,2.94524223277775,0.732961266910234,0.518529352091464,0.604088986329372,FALSE
"Full Sample","EXO: withTCN vs baseline",6,0.287160858369683,1.92492929666859,0.881503041078064,0.431687068174881,2.31282955183349,0.852050971286892,0.0480301095867769,0.961692246311083,FALSE
"Full Sample","EXO: withTCN vs baseline",12,-2.68056223298434,2.08634520461295,0.199778448406336,-8.732910137588,2.90880157667304,0.00288906761697626,1.69076073246478,0.0908825097112858,TRUE
"Full Sample","EXO: withTCN vs baseline",18,-2.70541203952759,1.90748159136476,0.157080792123953,-8.93593300954906,3.37606209729889,0.00853025508211039,1.60677157822485,0.108104485168916,FALSE
"Post-IT","ENDO: noTCN_exCred vs baseline_exCred",6,-3.24528604047709,1.30226205652125,0.0137398231196805,-2.59658191348856,1.0470412924823,0.014196839173927,0.388217228334737,0.6978552847013,FALSE
"Post-IT","ENDO: noTCN_exCred vs baseline_exCred",12,-4.12581230389781,1.6599050363034,0.0140243599302578,-2.38898257960742,1.41179313059346,0.0926775927428447,0.797042641406623,0.425426266777007,FALSE
"Post-IT","ENDO: noTCN_exCred vs baseline_exCred",18,-1.74604779166148,1.87809186132116,0.354075519234159,-0.645737778176058,1.26987315403366,0.611871523025729,0.485335059821813,0.627438689581259,FALSE
"Post-IT","EXO: withTCN vs baseline",6,-0.209831760086859,1.32311836435948,0.874196659099092,0.952273722002196,1.87219425586034,0.611718285376819,0.506906726553749,0.612220265740353,FALSE
"Post-IT","EXO: withTCN vs baseline",12,-1.52748763442173,2.27363289078683,0.502720508417914,-3.08307403359772,1.99600036758786,0.124529955094047,0.514164807494709,0.60713677031683,FALSE
"Post-IT","EXO: withTCN vs baseline",18,-2.76618074858257,2.50534487338689,0.271373543559496,-3.64259311964962,2.8141370119511,0.19758807569218,0.232607475279913,0.816066222088816,FALSE
