"target","horizon","window_type","n_forecasts","RMSE_AR","RMSE_AR_COMP","RMSE_AR_ENDO","RMSE_AR_EXO","RMSE_VAR_wo","RMSE_VAR_w","RMSE_Factor","rel_AR_COMP","rel_AR_ENDO","rel_AR_EXO","rel_VAR_wo","rel_VAR_w","rel_Factor"
"Credit_yoy",1,"expanding",267,2.4054050687931,2.44284756229795,2.41815639066438,2.41147655386504,2.59641051119557,2.53925396479072,2.46240121889012,1.01556598262414,1.00530111208158,1.00252410088875,1.07940676806602,1.05564505443766,1.0236950320079
"Credit_yoy",1,"rolling",287,2.5349084123573,2.61102469884902,2.59645876597973,2.72351758579558,2.58626800270383,2.69189550594392,2.61362063885761,1.03002723337879,1.02428109564921,1.07440472899093,1.02026092544257,1.06193008505606,1.03105130982902
"Credit_yoy",3,"expanding",265,4.95206768029562,4.67117637370797,4.68785122961753,4.8921850273149,5.412302484283,5.11838862585278,4.68079617678815,0.943277975035496,0.946645226249753,0.987907545525077,1.09293790668869,1.0335861616389,0.945220558154554
"Credit_yoy",3,"rolling",285,5.24605114033655,4.9423411865587,4.82715953189345,5.28816285027974,5.29167441528517,5.77498632899508,4.92879540494955,0.942106939933801,0.920151062725586,1.00802731594044,1.00869668894339,1.10082539695269,0.939524848900607
"Credit_yoy",6,"expanding",262,8.05332669926775,7.68564371831592,7.76223910493998,8.00840380949698,8.57691225504937,8.11040449688206,7.70844838621122,0.954343963099714,0.963854987485577,0.994421822006197,1.06501481627825,1.00708748070776,0.957175670882955
"Credit_yoy",6,"rolling",282,8.71036031040362,8.10862804495345,7.99388389800901,8.61289260372242,8.7392211752976,9.74456455169975,8.08003365633244,0.93091763784657,0.91774434272956,0.988810140659189,1.00331339506811,1.11873265909114,0.927634835803713
"Credit_yoy",12,"expanding",256,12.0255271425056,11.7834569212827,11.9117962727761,12.165708766598,11.9225797873797,11.7813398344969,11.8304543001037,0.979870302702387,0.990542546003869,1.01165700450644,0.99143926466541,0.979694253306738,0.983778437311711
"Credit_yoy",12,"rolling",276,13.6719701553125,12.6968643770793,12.7029691346296,13.2840992074119,13.2485099106952,15.1934630305222,12.6661454261897,0.928678473756445,0.929124990058115,0.971630208119644,0.96902712339137,1.11128556147546,0.926431617557916
"IMAEP_yoy",1,"expanding",267,3.70585984961846,3.75182131004348,3.7585873143107,3.68584974731933,3.73608181077871,3.7890134501016,3.76108696459668,1.01240237415609,1.01422813242591,0.994600415797917,1.00815518189749,1.02243840939956,1.0149026453291
"IMAEP_yoy",1,"rolling",287,3.74553057437533,3.88989017588157,3.9760799723371,3.86463319851445,4.00884817840597,4.14998528908637,3.91359291888271,1.03854182969267,1.06155320144469,1.03179859882975,1.07030181673916,1.107983290132,1.04487010349272
"IMAEP_yoy",3,"expanding",265,4.92284291294545,5.04094791482876,5.0327538372691,5.04828370604523,4.94524513620282,5.00275650706919,5.02961077918832,1.02399121888954,1.02232671776599,1.02548137231231,1.00455066790745,1.01623322042505,1.02168825374503
"IMAEP_yoy",3,"rolling",285,5.01797841395737,5.34495524410015,5.39999756932439,5.4060578536242,5.72058719939088,6.06388256239314,5.36809640554981,1.06516106749947,1.07613009141379,1.07733780571622,1.14001829571032,1.20843137657321,1.06977271775793
"IMAEP_yoy",6,"expanding",262,5.34843089212873,5.63600069585864,5.63439293854241,5.6175852843341,5.31544645301587,5.46644135378165,5.62509408406977,1.0537671346101,1.05346653105952,1.0503239917714,0.993832875514685,1.02206450153943,1.05172791749973
"IMAEP_yoy",6,"rolling",282,5.43897323319277,6.04521351637711,6.10245364495539,6.04773211246456,6.25924167919383,7.10150156041701,6.03494165526892,1.11146226634921,1.12198633516222,1.11192533097179,1.15081310586255,1.30566951811386,1.10957370013132
"IMAEP_yoy",12,"expanding",256,5.60497097057042,7.33268790868556,7.32193414845766,7.41962885615726,5.62860444301015,5.85657219672216,7.32212828983693,1.30824725893974,1.30632864771332,1.32375865907512,1.00421652004334,1.04488894366675,1.3063632850701
"IMAEP_yoy",12,"rolling",276,5.85782534052089,7.79629888483964,7.86761605523627,7.78048982813851,6.70662255982469,8.0061843861266,7.77984609057946,1.33092033845898,1.34309502210878,1.32822154568485,1.14489971447806,1.36675027347515,1.3281116520773
"IPC_yoy",1,"expanding",267,1.13350276445153,1.17426337193342,1.1564566365029,1.15887664909379,1.14475816527929,1.18010783566933,1.16938617700405,1.03595986596611,1.02025038912233,1.02238537517334,1.00992975154605,1.04111597490489,1.03165710193031
"IPC_yoy",1,"rolling",287,1.16002769335495,1.2070251660657,1.21460527444981,1.23481500126618,1.19926395066998,1.23198670186408,1.18323930227166,1.0405140954651,1.04704851565829,1.06447027802839,1.03382355226499,1.06203214709557,1.02000952998766
"IPC_yoy",3,"expanding",265,2.12551125432722,2.07820511686673,2.08735341320794,2.10731933043054,2.20350736072792,2.44753726124117,2.07366234179623,0.977743642916883,0.982047688036656,0.991441153811986,1.03669522155759,1.15150519963531,0.975606380617634
"IPC_yoy",3,"rolling",285,2.38546065920499,2.30045117747755,2.34993623496839,2.42973683255246,2.54783843165832,2.64971413230956,2.27944878399008,0.964363494573091,0.985107939592499,1.01856084826913,1.06806977588448,1.11077670557461,0.955559160111977
"IPC_yoy",6,"expanding",262,2.74559468860371,2.69136756699295,2.71282004327076,2.69964309387615,2.89418347865263,3.48933908879807,2.69157506970492,0.980249407592517,0.988062824615375,0.983263518494446,1.05411898218833,1.27088645067732,0.980324984192671
"IPC_yoy",6,"rolling",282,3.18884880729057,3.14446044519866,3.24016365137269,3.28577006547527,3.31254240173093,3.73781273055103,3.12101233665155,0.986080129609651,1.01609196521478,1.03039380793568,1.0387894196042,1.17215112927442,0.978726971788713
"IPC_yoy",12,"expanding",256,3.39437280277889,3.82167569885126,3.83429327141048,3.79261197900808,3.66755993976095,4.53504091595951,3.81517373345584,1.12588567046099,1.12960287340019,1.11732334642299,1.08048236091168,1.33604679846798,1.12397015741242
"IPC_yoy",12,"rolling",276,4.1485651215444,4.66691814677368,4.7436993389731,4.74858300859609,3.94259979643906,4.81398393104375,4.63544450584159,1.12494754452265,1.14345543579346,1.14463263067408,0.950352635412249,1.16039733980399,1.11736091155198
