"Instrument","Coefficient","Std_Error","t_stat","p_value","Partial_R2","F_stat","t_hac_nw3","F_hac_nw3","t_classical","F_classical","partialR2_classical","deltaR2_incremental"
"VIX",0.000443353540481238,0.0117731247508132,0.0376581026588218,0.969984060117175,1.34008650313211e-05,0.00423473009907603,0.0376581026588218,0.00141813269586236,0.0650748038727435,0.00423473009907603,1.34008650313211e-05,1.29802873981844e-05
"FFER",-0.099498782164722,0.0446122708188716,-2.23030077461631,0.0264294078741324,0.0510588215854325,17.0027268159584,-2.23030077461631,4.97424154525412,-4.123436287365,17.0027268159584,0.0510588215854325,0.0494563729149532
"DXY",0.0404078806101385,0.0070422146393453,5.73795072708764,2.24484284067891e-08,0.235120708184987,97.1370836961094,5.73795072708764,32.9240785464855,9.85581471498472,97.1370836961094,0.235120708184987,0.227741594164451
"US_10Y",-0.143081329966514,0.0738627367265327,-1.93712467622551,0.0536211250259924,0.0383876038876648,12.6147321702007,-1.93712467622551,3.75245201124177,-3.55172242302248,12.6147321702007,0.0383876038876648,0.0371828333327914
"SP500",-4.31100051858106e-06,5.36333367858607e-05,-0.0803791219590419,0.93598661258174,4.58360348194464e-05,0.0144848509309824,-0.0803791219590419,0.00646080324690652,-0.120353026264329,0.0144848509309824,4.58360348194464e-05,4.43974999925628e-05
"Selic_rate",0.0332939858648081,0.0206401196071895,1.61307136288158,0.107727173252451,0.028128421598538,9.14583924736019,1.61307136288158,2.60199922174865,3.02420886305166,9.14583924736019,0.028128421598538,0.0272456289606813
"d_ToT",0.00291416987889017,0.00495557559224124,0.588058808638249,0.55691284408687,0.00390921859636462,1.24016113743227,0.588058808638249,0.345813162417036,1.11362522305858,1.24016113743227,0.00390921859636462,0.00378653025480432
